task_id,variant_1_label,variant_2_label,variant_3_label,variant_4_label,variant_5_label
11,helper function extraction;type check;input validation;boundary case handling;early return;guard clause;exception handling;temporary variable;list conversion;copy before mutation;slicing,helper function extraction;guard clause;itertools usage;list conversion;temporary variable;input validation;type check;boundary case handling;behavior change,recursion with base case; helper function extraction; guard clause; input validation; type check; list conversion; boundary case handling; behavior change,helper function extraction;guard clause;early return;flattened conditional;in-place mutation;list conversion;standard library helper;import reorganization;input validation;type check;behavior change;for loop;slicing;temporary variable;exception handling,helper function extraction;early return;guard clause;conditional expression;temporary variable;copy before mutation;input validation;type check;boundary case handling;exception handling;behavior change
12,helper function extraction; import reorganization; input validation; type conversion; conditional expression; temporary variable; default value handling; behavior change,helper function extraction; import reorganization; input validation; type conversion; conditional expression; default value handling; behavior change,helper function extraction; import reorganization; type conversion; type check; conditional expression; temporary variable; input validation; behavior change,helper function extraction; import reorganization; guard clause; type conversion; input validation; boundary case handling; default value handling; temporary variable; mathematical formula; standard library helper,helper function extraction;import reorganization;standard library helper;type check;type conversion;boundary case handling;default value handling;behavior change
13,helper function extraction;function renaming;import reorganization;try-except wrapper;input validation;type conversion;copy before mutation;temporary variable;tuple unpacking;svd-based orthonormalization,helper function extraction;guard clause;exception handling;input validation;boundary case handling;type conversion;copy before mutation;temporary variable;gram schmidt orthonormalization;determinant sign correction,helper function extraction;import reorganization;polar decomposition;try-except wrapper;input validation;guard clause;boundary case handling;type conversion;copy before mutation;in-place mutation;list comprehension;literal rewrite,helper function extraction; import reorganization; copy before mutation; tuple unpacking; try-except wrapper; guard clause; input validation; type conversion; qr orthonormalization; temporary variable; boundary case handling,loop rewrite;for loop;helper function extraction;copy before mutation;temporary variable;input validation;type conversion;try-except wrapper;polar decomposition;svd fallback;import reorganization;boundary case handling;behavior change
14,function renaming; import reorganization; type conversion; input validation; boundary case handling; default value handling; early return; guard clause; combined condition; temporary variable; standard library helper,function renaming; helper function extraction; import reorganization; type conversion; input validation; boundary case handling; default value handling; guard clause; nested conditional; temporary variable; mathematical formula,guard clause; input validation; type conversion; boundary case handling; mathematical formula; temporary variable; import reorganization; default value handling,helper function extraction; guard clause; input validation; boundary case handling; default value handling; mathematical formula; temporary variable; variable renaming; import reorganization,function renaming; guard clause; split condition; temporary variable; mathematical formula; input validation; boundary case handling; type conversion; default value handling; behavior change
15,function renaming; import reorganization; guard clause; nested conditional; helper function extraction; input validation; type conversion; boundary case handling; temporary variable; any/all usage,import reorganization;type conversion;input validation;empty input handling;boundary case handling;loop rewrite;index-based loop;accumulator list;temporary variable;nested conditional;guard clause;early return;brute force;behavior change,function renaming; import reorganization; input validation; type conversion; guard clause; nested conditional; helper function extraction; temporary variable; any/all usage; standard library helper; boundary case handling; behavior change,function renaming;helper function extraction;guard clause;split condition;import reorganization;input validation;type conversion;temporary variable;array vectorization;boundary case handling;behavior change,import reorganization; function renaming; helper function extraction; guard clause; early return; nested conditional; temporary variable; input validation; type conversion; boundary case handling
16,variable renaming;loop rewrite;frequency counting;prefix/suffix computation;guard clause;input validation;empty input handling;type conversion;behavior change;temporary variable,variable renaming; import reorganization; for loop; frequency counting; prefix/suffix computation; standard library helper; tuple unpacking; temporary variable; boundary case handling; type conversion,variable renaming;helper function extraction;import reorganization;frequency counting;brute force;guard clause;input validation;boundary case handling;behavior change,import reorganization; helper function extraction; sorting-based approach; input validation; boundary case handling; temporary variable; in-place mutation; type conversion,variable renaming;helper function extraction;loop rewrite;frequency counting;bincount usage;in-place mutation;input validation;boundary case handling;type conversion;behavior change
17,helper function extraction; import reorganization; guard clause; type conversion; empty input handling; list conversion,helper function extraction; guard clause; list comprehension; temporary variable; type conversion; empty input handling; boundary case handling; builtin function,standard library helper; helper function extraction; for loop; accumulator list; temporary variable; guard clause; type conversion; empty input handling; import reorganization,helper function extraction;import reorganization;standard library helper;index-based loop;accumulator list;guard clause;input validation;boundary case handling;type conversion;temporary variable,helper function extraction; import reorganization; list comprehension; guard clause; type conversion; boundary case handling; temporary variable; mathematical formula
18,helper function extraction; import reorganization; type conversion; empty input handling; boundary case handling; guard clause; conditional expression; behavior change,helper function extraction; while loop; binary search; temporary variable; behavior change,helper function extraction; import reorganization; type conversion; temporary variable; guard clause; brute force; empty input handling; behavior change; error suppression,helper function extraction; nested function; import reorganization; standard library helper; conditional expression; error suppression; boundary case handling,binary search; recursion with base case; helper function extraction; temporary variable; behavior change; function renaming; parameter renaming
19,helper function extraction;early return;index-based loop;combined condition;temporary variable;in-place mutation;accumulator list;brute force;empty input handling;boundary case handling,loop rewrite; itertools usage; accumulator list; temporary variable; combined condition; early return; helper function extraction; boundary case handling,sorting-based approach;prefix/suffix computation;early return;loop rewrite;helper function extraction;accumulator list;dictionary lookup;set conversion;in-place mutation;sort key;lambda expression;dict comprehension;generator expression;enumerate loop;empty input handling,loop rewrite; helper function extraction; try-except wrapper; guard clause; numpy vectorization; accumulator list; variable renaming; input validation; empty input handling,sorting-based approach;sort key;standard library helper;generator expression;accumulator list;in-place mutation;loop rewrite;guard clause;early return;empty input handling;boundary case handling;behavior change
20,helper function extraction; import reorganization; standard library helper; guard clause; flattened conditional; temporary variable; boundary case handling,guard clause; split condition; variable renaming; temporary variable; literal rewrite; import reorganization; mathematical formula; boundary case handling,helper function extraction; guard clause; standard library helper; mathematical formula; import reorganization; boundary case handling; behavior change,guard clause; mathematical formula; temporary variable; standard library helper; boundary case handling; import reorganization,import reorganization; helper function extraction; standard library helper; mathematical formula; temporary variable; boundary case handling
21,helper function extraction;import reorganization;guard clause;early return;split condition;literal rewrite;regex usage;empty input handling;builtin function;input validation,variable renaming;import reorganization;helper function extraction;guard clause;flattened conditional;temporary variable;regex usage;type check;behavior change,helper function extraction; import reorganization; split condition; guard clause; early return; for loop; membership test; standard library helper; input validation; empty input handling,helper function extraction;guard clause;split condition;for loop;loop rewrite;try-except wrapper;type check;empty input handling,helper function extraction;import reorganization;guard clause;split condition;literal rewrite;empty input handling;type check;input validation
22,helper function extraction; guard clause; loop rewrite; index-based loop; temporary variable; accumulator dict; in-place mutation,helper function extraction;import reorganization;standard library helper;frequency counting;list conversion;temporary variable;guard clause;loop rewrite;in-place mutation,helper function extraction;import reorganization;standard library helper;loop rewrite;sliding window;accumulator dict;temporary variable;exception handling;early return;copy before mutation;empty input handling,index-based loop; while loop; guard clause; membership test; dictionary lookup; accumulator dict; temporary variable; in-place mutation,helper function extraction;loop rewrite;enumerate loop;index-based loop;try-except wrapper;guard clause;conditional expression;accumulator dict;temporary variable
23,variable renaming; helper function extraction; tuple unpacking; temporary variable; branch reordering,helper function extraction;variable renaming;tuple unpacking;temporary variable;accumulator list;guard clause;branch reordering,loop rewrite; for loop; helper function extraction; accumulator list; stack-based; tuple unpacking; in-place mutation,loop rewrite; helper function extraction; guard clause; empty input handling; regex usage; standard library helper; join/split usage; generator expression; list comprehension; tuple unpacking,recursion; helper function extraction; while loop; tuple unpacking; accumulator list; early return
24,import reorganization; helper function extraction; literal rewrite; slicing; string formatting change; boundary case handling; behavior change,literal rewrite;regex usage;import reorganization;slicing;temporary variable;early return;boundary case handling;behavior change;default value handling,variable renaming;import reorganization;string formatting change;regex usage;literal rewrite;guard clause;list conversion;temporary variable;slicing;behavior change,sliding window; for loop; loop rewrite; set conversion; any/all usage; membership test; temporary variable; import reorganization; early return; behavior change,variable renaming;import reorganization;regex usage;helper function extraction;guard clause;temporary variable;string formatting change;behavior change;case-insensitive comparison
25,variable renaming; import reorganization; guard clause; input validation; type conversion; copy before mutation; tuple unpacking; temporary variable; standard library helper; graph traversal,variable renaming; import reorganization; helper function extraction; guard clause; input validation; type check; tuple unpacking; temporary variable; type conversion; morphological closing,import reorganization; helper function extraction; guard clause; early return; tuple unpacking; in-place mutation; type conversion; graph traversal; input validation; boundary case handling,queue-based; loop rewrite; while loop; for loop; guard clause; input validation; type conversion; copy before mutation; standard library helper; tuple unpacking; boundary case handling,helper function extraction; variable renaming; import reorganization; guard clause; input validation; type conversion; copy before mutation; tuple unpacking; standard library helper; boundary case handling
26,helper function extraction;import reorganization;copy before mutation;in-place mutation;temporary variable;tuple unpacking;standard library helper;any/all usage;guard clause;type conversion;default value handling;boundary case handling,helper function extraction;copy before mutation;in-place mutation;list conversion;type conversion;any/all usage;input validation,variable renaming; helper function extraction; import reorganization; in-place mutation; temporary variable; any/all usage; type conversion; empty input handling; negative-index normalization; manual indexing assignment,helper function extraction; import reorganization; loop rewrite; for loop; brute force; in-place mutation; copy before mutation; any/all usage; guard clause; input validation; default value handling; temporary variable; boundary case handling,helper function extraction; copy before mutation; n-dimensional generalization; boundary case handling; type conversion; import reorganization; any/all usage; enumerate loop; temporary variable
27,helper function extraction; input validation; type check; import reorganization; variable renaming; temporary variable; type conversion,helper function extraction; variable renaming; import reorganization; standard library helper; type check; exception handling; temporary variable; empty input handling,helper function extraction;import reorganization;type check;input validation;empty input handling;guard clause;variable renaming;reversed condition;any/all usage;method renaming;type conversion,function renaming; helper function extraction; import reorganization; temporary variable; exception handling; input validation; type conversion; behavior change,helper function extraction; import reorganization; variable renaming; temporary variable; index-based selection; type conversion; type check; input validation; empty input handling; early return; exception handling
28,accumulator list; loop rewrite; for loop; guard clause; try-except wrapper; standard library helper; type conversion; empty input handling; behavior change; error suppression; helper function extraction,import reorganization; guard clause; try-except wrapper; generator expression; list conversion; numpy vectorization; empty input handling; type conversion; behavior change; any/all usage; default value handling; helper function extraction,loop rewrite; for loop; kahan summation; state variable; temporary variable; exception handling; error suppression; type conversion; standard library helper; import reorganization; empty input handling; behavior change; guard clause,accumulator list; loop rewrite; try-except wrapper; standard library helper; import reorganization; empty input handling; behavior change; type conversion,loop rewrite;functools reduce;helper function extraction;tuple unpacking;try-except wrapper;import reorganization;empty input handling;type conversion;parameter addition
29,function renaming; parameter renaming; import reorganization; helper function inlining; loop rewrite; early return; guard clause; input validation; type conversion; temporary variable,index-based loop; in-place mutation; temporary variable; accumulator list; input validation; type conversion; guard clause; early return; helper function inlining; import reorganization; third-party library usage; boundary case handling,function renaming; numpy/torch usage; type conversion; input validation; guard clause; early return; index-based loop; copy before mutation; temporary variable; any/all usage,loop rewrite; vectorized computation; torch usage; in-place mutation; early return; guard clause; exception handling; input validation; type conversion; behavior change; import reorganization,helper function extraction;helper function inlining;list comprehension;index-based loop;accumulator list;in-place mutation;input validation;type conversion;default value handling;any/all usage;early return
30,loop rewrite; for loop; guard clause; exception handling; zip usage; temporary variable; in-place mutation; input validation; boundary case handling; type conversion; frequency counting; brute force,helper function extraction;import reorganization;loop rewrite;combined condition;early return;guard clause;frequency counting;input validation;boundary case handling;type conversion;temporary variable,import reorganization;guard clause;loop rewrite;in-place mutation;frequency counting;temporary variable;any/all usage;input validation;boundary case handling;type conversion;behavior change,import reorganization; helper function extraction; guard clause; loop rewrite; numpy vectorization; frequency counting; temporary variable; array flattening; input validation; empty input handling; boundary case handling; exception handling; type conversion,guard clause; exception handling; behavior change; standard library helper; accumulator dict; frequency counting; generator expression; zip usage; for loop; boundary case handling; type conversion; import reorganization; membership test
31,input validation;boundary case handling;flattened conditional;import reorganization;type conversion;vectorized tensor ops;linear interpolation resampling,function renaming; import reorganization; guard clause; type check; input validation; early return; flattened conditional; loop rewrite; temporary variable; vectorized indexing; nearest-neighbor resampling; behavior change,function renaming;variable renaming;import reorganization;guard clause;early return;try-except wrapper;temporary variable;copy before mutation;standard library helper;input validation;empty input handling;type check;interpolation resampling,guard clause; helper function extraction; accumulator list; temporary variable; input validation; empty input handling; boundary case handling; type conversion; copy before mutation; linear interpolation resampling,function renaming; import reorganization; input validation; helper function extraction; while loop; state variable; type conversion; iterative resampling
32,helper function extraction;import reorganization;guard clause;early return;flattened conditional;exception handling;input validation;type check;empty input handling;boundary case handling;temporary variable;tuple unpacking,helper function extraction;guard clause;early return;temporary variable;method renaming;modular index selection;input validation;type check;empty input handling;boundary case handling;behavior change,helper function extraction; import reorganization; guard clause; input validation; type check; empty input handling; boundary case handling; while loop; accumulator list; temporary variable; brute force,helper function extraction;guard clause;try-except wrapper;input validation;type check;empty input handling;temporary variable;tuple unpacking;behavior change;variable renaming,helper function extraction;guard clause;loop rewrite;while loop;exception handling;input validation;type check;empty input handling;boundary case handling;in-place mutation;temporary variable;copy before mutation
33,helper function extraction;variable renaming;early return;guard clause;input validation;boundary case handling;temporary variable;in-place mutation;copy before mutation;tuple unpacking,guard clause; helper function extraction; sorting-based approach; copy before mutation; in-place mutation; any/all usage; conditional expression; temporary variable; boundary case handling; input validation,loop rewrite;guard clause;in-place mutation;temporary variable;boundary case handling;default value handling;sorting-based approach,variable renaming; import reorganization; early return; for loop; in-place mutation; temporary variable; sorting-based approach; boundary case handling; input validation; zip usage,helper function extraction; early return; guard clause; loop rewrite; for loop; temporary variable; in-place mutation; any/all usage; binary search; boundary case handling; type conversion
34,helper function extraction; variable renaming; import reorganization; flattened conditional; combined condition; slicing; copy before mutation; temporary variable; type conversion; empty input handling; boundary case handling; in-place mutation,helper function extraction;import reorganization;flattened conditional;early return;temporary variable;in-place mutation;slicing;builtin function;input validation;boundary case handling;type conversion,helper function extraction;early return;flattened conditional;variable renaming;import reorganization;standard library helper;type conversion;boundary case handling;behavior change;temporary variable,helper function extraction; loop rewrite; type conversion; boundary case handling; import reorganization; flattened conditional; behavior change; temporary variable,helper function extraction;for loop;accumulator list;list conversion;in-place mutation;brute force;early return;boundary case handling;type conversion;import reorganization;temporary variable
35,accumulator dict; helper function extraction; recursion; string formatting change; temporary variable; in-place mutation; empty input handling; guard clause; type conversion,recursion; stack-based; loop rewrite; accumulator dict; temporary variable; type conversion; empty input handling; string formatting change; guard clause,loop rewrite; queue-based; standard library helper; import reorganization; accumulator dict; in-place mutation; tuple unpacking; string formatting change; guard clause; empty input handling; variable renaming; type annotations,helper function extraction;generator expression;recursion;string formatting change;type conversion;empty input handling;variable renaming,loop rewrite; stack-based; accumulator dict; list conversion; temporary variable; string formatting change; type conversion; empty input handling; in-place mutation; nested conditional
36,variable renaming; import reorganization; guard clause; early return; default value handling; empty input handling; boundary case handling; type conversion; temporary variable; copy before mutation,helper function extraction; guard clause; sliding window; builtin function; for loop; temporary variable; in-place mutation; empty input handling; boundary case handling; type conversion; copy before mutation,prefix/suffix computation; loop rewrite; guard clause; empty input handling; accumulator array; numpy vectorization,helper function extraction;import reorganization;guard clause;combined condition;sliding window;gaussian smoothing;temporary variable;in-place mutation;variable renaming;type conversion;default value handling,loop rewrite;sliding window;numpy vectorization;guard clause;input validation;empty input handling;type conversion;import reorganization;temporary variable
37,helper function extraction; import reorganization; variable renaming; temporary variable; type conversion; input validation; guard clause,function renaming; variable renaming; import reorganization; helper function extraction; tuple unpacking; in-place mutation; standard library helper; brute force; type conversion,function renaming; variable renaming; import reorganization; helper function inlining; mathematical formula; standard library helper; type conversion; tuple unpacking; list comprehension; temporary variable; in-place mutation; slicing,import reorganization; helper function extraction; loop rewrite; enumerate loop; temporary variable; tuple unpacking; in-place mutation; type conversion; standard library helper,function renaming; variable renaming; import reorganization; helper function extraction; literal rewrite; numpy array construction; in-place mutation; list comprehension; tuple unpacking; type conversion; standard library helper; explicit euler-to-matrix
38,function renaming;type annotations;import reorganization;standard library helper;for loop;guard clause;accumulator list;temporary variable;literal rewrite;empty input handling;behavior change,helper function extraction;loop rewrite;while loop;index-based loop;accumulator list;temporary variable;list comprehension;import reorganization;regex usage;boundary case handling,function renaming; helper function extraction; standard library helper; try-except wrapper; accumulator list; sort key; tuple unpacking; generator expression; f-string; error suppression,function renaming;helper function extraction;loop rewrite;while loop;nested conditional;guard clause;sentinel flag;state variable;accumulator list;temporary variable;import reorganization;standard library helper;lambda expression;sort key;join/split usage;boundary case handling;type annotations,function renaming; import reorganization; loop rewrite; for loop; nested conditional; combined condition; accumulator list; temporary variable; in-place mutation; standard library helper; membership test; exception handling; boundary case handling; tokenization-based parsing
39,guard clause;helper function extraction;for loop;tuple unpacking;accumulator list;in-place mutation;state variable;set conversion;set comprehension;standard library helper;f-string;join/split usage;behavior change,regex usage;helper function extraction;set conversion;generator expression;accumulator list;standard library helper;f-string;temporary variable;import reorganization;default value handling;boundary case handling;behavior change,parser-based approach;helper function extraction;set conversion;accumulator list;tuple unpacking;guard clause;in-place mutation;standard library helper;f-string;join/split usage;generator expression;boundary case handling,helper function extraction;guard clause;set conversion;accumulator list;temporary variable;regex usage;standard library helper;parse and reconstruct;boundary case handling;default value handling;import reorganization,loop rewrite;while loop;helper function extraction;nested conditional;guard clause;accumulator list;set conversion;state variable;stack-based;standard library helper;f-string;membership test;import reorganization;boundary case handling
40,helper function extraction;for loop;while loop;guard clause;import reorganization;standard library helper;temporary variable;state variable;in-place mutation;list comprehension;variable renaming;empty input handling;boundary case handling,function renaming; import reorganization; try-except wrapper; guard clause; early return; tree traversal; list comprehension; in-place mutation; temporary variable; join/split usage; standard library helper; empty input handling; boundary case handling,function renaming; import reorganization; standard library helper; helper function extraction; guard clause; while loop; enumerate loop; loop rewrite; accumulator list; tuple unpacking; temporary variable; input validation; boundary case handling; behavior change,function renaming; import reorganization; regex usage; standard library helper; guard clause; early return; nested conditional; loop rewrite; temporary variable; in-place mutation; boundary case handling,function renaming;import reorganization;standard library helper;enumerate loop;while loop;guard clause;combined condition;temporary variable;in-place mutation;list conversion;empty input handling;boundary case handling
41,function renaming; helper function extraction; loop rewrite; while loop; index-based loop; guard clause; early return; boundary case handling; empty input handling; branch reordering; literal rewrite; temporary variable; accumulator list; copy before mutation; join/split usage; membership test,function renaming; helper function extraction; loop rewrite; while loop; guard clause; accumulator list; temporary variable; join/split usage; greedy strategy; empty input handling; boundary case handling; behavior change; try-except wrapper,function renaming; recursion; helper function extraction; guard clause; greedy strategy; string formatting change; list comprehension; in-place mutation; slicing; empty input handling; boundary case handling,helper function extraction;loop rewrite;while loop;index-based loop;early return;variable renaming;temporary variable;input validation;boundary case handling;string formatting change;join/split usage,variable renaming; function renaming; import reorganization; loop rewrite; while loop; queue-based; standard library helper; generator expression; early return; temporary variable; string formatting change; literal rewrite; input validation; boundary case handling; behavior change
42,variable renaming;helper function extraction;import reorganization;guard clause;try-except wrapper;type conversion;temporary variable;boundary case handling;behavior change,import reorganization; helper function extraction; variable renaming; standard library helper; try-except wrapper; type conversion; temporary variable; default value handling,variable renaming; helper function extraction; import reorganization; guard clause; try-except wrapper; type conversion; input validation,variable renaming;function renaming;import reorganization;helper function extraction;exception handling;sentinel flag;temporary variable;state variable;tuple unpacking;conditional expression;standard library helper;input validation;boundary case handling;type conversion;default value handling,variable renaming; import reorganization; helper function extraction; try-except wrapper; accumulator list; list comprehension; type conversion; boundary case handling; channel-wise processing; builtin function
43,helper function extraction; import reorganization; try-except wrapper; input validation; type check; boundary case handling; behavior change; nested conditional,import reorganization;branch reordering;nested conditional;input validation;type check;error behavior change;builtin function;temporary variable;combined condition;early return,helper function extraction;import reorganization;try-except wrapper;input validation;type conversion;temporary variable;behavior change,import reorganization; input validation; type check; combined condition; nested conditional; branch reordering; exception handling; try-except wrapper; error suppression; empty input handling; boundary case handling; temporary variable; standard library helper; behavior change,import reorganization;nested conditional;try-except wrapper;input validation;boundary case handling;behavior change;temporary variable;standard library helper;helper function extraction
44,helper function extraction; function renaming; variable renaming; import reorganization; guard clause; input validation; temporary variable; slicing,helper function extraction; import reorganization; guard clause; input validation; slicing; in-place mutation; temporary variable; loop rewrite,helper function extraction; index-based loop; accumulator list; brute force; guard clause; input validation; empty input handling; import reorganization,helper function extraction; guard clause; input validation; import reorganization; temporary variable; tuple unpacking; indexing-based rewrite,helper function extraction;import reorganization;variable renaming;accumulator list;list comprehension;slicing;guard clause;exception handling;input validation;empty input handling;conditional expression;brute force
45,import reorganization; type conversion; early return; guard clause; split condition; try-except wrapper; temporary variable; in-place mutation; input validation; boundary case handling,helper function extraction; type conversion; input validation; early return; try-except wrapper; sentinel flag; temporary variable; copy before mutation; boundary case handling,early return;try-except wrapper;in-place mutation;temporary variable;type conversion;boundary case handling;behavior change;mask broadcasting,helper function extraction;import reorganization;input validation;type conversion;early return;guard clause;branch reordering;try-except wrapper;error suppression;for loop;accumulator list;temporary variable;in-place mutation;empty input handling;behavior change,import reorganization; input validation; early return; try-except wrapper; branch reordering; temporary variable; error suppression; default value handling; empty input handling
46,variable renaming; function renaming; import reorganization; guard clause; exception handling; conditional expression; temporary variable; type conversion; input validation; boundary case handling; brute force; standard library helper,type conversion;input validation;empty input handling;behavior change;copy before mutation;temporary variable;exception handling;standard library helper;guard clause,import reorganization;exception handling;guard clause;helper function extraction;temporary variable;type conversion;mathematical formula;input validation;behavior change;error suppression,variable renaming; import reorganization; loop rewrite; for loop; index-based loop; nested conditional; list conversion; list comprehension; generator expression; zip usage; in-place mutation; temporary variable; brute force; input validation; boundary case handling; behavior change,import reorganization; input validation; exception handling; type conversion; list conversion; temporary variable; in-place mutation; guard clause; empty input handling
47,variable renaming;helper function extraction;loop rewrite;for loop;guard clause;list conversion;input validation,recursion with base case; helper function extraction; loop rewrite; guard clause; input validation; set conversion; membership test,helper function extraction; loop rewrite; dict comprehension; dictionary lookup; in-place mutation; set conversion; temporary variable; graph traversal; input validation; behavior change,function renaming; helper function extraction; loop rewrite; enumerate loop; guard clause; state variable; accumulator list; set conversion; standard library helper; exception handling; membership test; list conversion; graph traversal; input validation; in-place mutation,variable renaming; function renaming; loop rewrite; for loop; guard clause; helper function extraction; accumulator set; accumulator list; membership test; lambda expression; builtin function; input validation; behavior change
48,variable renaming;tuple unpacking;temporary variable;early return;helper function extraction;sort key;greedy strategy;empty input handling;behavior change,variable renaming; helper function extraction; early return; split condition; accumulator list; temporary variable; lambda expression; sort key; in-place mutation; sorting-based approach; empty input handling; behavior change,variable renaming; parameter renaming; guard clause; combined condition; greedy strategy; temporary variable; state variable; tuple unpacking; empty input handling; behavior change,variable renaming;helper function extraction;guard clause;temporary variable;tuple unpacking;builtin function;weighted scoring;empty input handling;boundary case handling;behavior change,guard clause; empty input handling; for loop; tuple unpacking; temporary variable; flattened conditional; mathematical formula; brute force
