task_id,variant_1_label,variant_2_label,variant_3_label,variant_4_label,variant_5_label
10,helper function extraction;regex usage;generator expression;early return;try-except wrapper;input validation;empty input handling;default value handling;boundary case handling;error suppression,variable renaming; import reorganization; generator expression; guard clause; exception handling; accumulator list; loop rewrite; index-based loop; temporary variable; default value handling; empty input handling; boundary case handling; behavior change; error suppression; standard library helper,list comprehension;temporary variable;accumulator list;variable renaming;guard clause;default value handling;empty input handling;boundary case handling;error suppression;behavior change,variable renaming;loop rewrite;accumulator list;state variable;guard clause;default value handling;empty input handling;error suppression;generator expression;import reorganization;map/filter usage,generator expression; variable renaming; temporary variable; guard clause; empty input handling; accumulator list; join/split usage; membership test; error suppression; behavior change; default value handling
11,formatting only; variable renaming; flattened conditional; helper function inlining; input validation; type check; empty input handling; literal rewrite; behavior change,variable renaming;string formatting change;formatting only;guard clause;flattened conditional;helper function inlining;input validation;empty input handling;type check;type conversion;mathematical formula,flattened conditional; early return; list conversion; type check; empty input handling; behavior change; string formatting change; formatting only,flattened conditional; early return; input validation; type check; empty input handling; variable renaming; formatting only; mathematical formula,formatting only; variable renaming; flattened conditional; bitwise expression rewrite; input validation; type check; guard clause; behavior change
12,variable renaming;list comprehension;membership test;temporary variable;flattened conditional;branch reordering;split condition;mathematical formula;behavior change,variable renaming;itertools usage;list comprehension;accumulator list;for loop;flattened conditional;import reorganization;literal rewrite;behavior change,variable renaming;list comprehension;import reorganization;standard library helper;accumulator dict;flattened conditional;combined condition;conditional expression;branch reordering,variable renaming; list comprehension; string formatting change; for loop; in-place mutation; flattened conditional; conditional expression; behavior change,variable renaming; string formatting change; import reorganization; list comprehension; functools reduce; helper function extraction; tuple unpacking; flattened conditional; branch reordering; conditional expression; standard library helper; behavior change
13,import reorganization;variable renaming;helper function extraction;guard clause;input validation;type check;error suppression;standard library helper;sort key;sorting-based approach;temporary variable;dictionary lookup;copy before mutation;behavior change,guard clause; input validation; type check; dictionary lookup; temporary variable; copy before mutation; sort key; behavior change; type conversion,parallel lists;dict comprehension;zip usage;standard library helper;binary search;helper function extraction;guard clause;input validation;in-place mutation;state variable;copy before mutation;behavior change,standard library helper;frequency counting;accumulator dict;state variable;guard clause;input validation;type check;error suppression;sort key;lambda expression,helper function extraction;binary search;list conversion;dict comprehension;tuple unpacking;in-place mutation;early return;guard clause;input validation;type check;boundary case handling;behavior change;state variable
14,combined condition;guard clause;literal rewrite;default value handling;behavior change,guard clause; input validation; type check; combined condition; literal rewrite; standard library helper; behavior change; boundary case handling,import reorganization; standard library helper; state variable; thread-safety; guard clause; boundary case handling; literal rewrite; changed-return-values,try-except wrapper;combined condition;temporary variable;state variable;default value handling;input validation;behavior change;sort key,helper function extraction; in-memory cache; state variable; list comprehension; tuple unpacking; list conversion; in-place mutation; early return; default value handling; boundary case handling; behavior change
15,variable renaming; loop rewrite; while loop; enumerate loop; dictionary lookup; state variable; accumulator list; early return; empty input handling; boundary case handling; guard clause; behavior change,loop rewrite; while loop; accumulator dict; dictionary lookup; state variable; guard clause; empty input handling; boundary case handling,guard clause; while loop; enumerate loop; dictionary lookup; state variable; accumulator list; temporary variable; empty input handling; boundary case handling; precomputation table,loop rewrite;while loop;enumerate loop;dictionary lookup;membership test;accumulator list;precomputed table;guard clause;empty input handling;boundary case handling;default value handling,variable renaming; accumulator dict; dictionary lookup; enumerate loop; loop rewrite; while loop; guard clause; empty input handling; boundary case handling; accumulator list
16,helper function extraction;index-based loop;regex usage;stack-based;try-except wrapper;membership test;input validation;empty input handling;import reorganization;behavior change,helper function extraction; recursion with base case; accumulator list; regex usage; try-except wrapper; flattened conditional; input validation; early return; state variable; unary operator handling; variable renaming,regex usage;builtin function;input validation;error suppression;early return;guard clause;flattened conditional;combined condition;import reorganization;mathematical formula,helper function extraction;index-based loop;try-except wrapper;regex usage;guard clause;input validation;boundary case handling;import reorganization;literal rewrite,helper function extraction;regex usage;stack-based;guard clause;try-except wrapper;input validation;error suppression;import reorganization;standard library helper
17,default value handling;type check;input validation;early return;guard clause;loop rewrite;sorting-based approach;sort key;lambda expression;list comprehension;accumulator list;temporary variable;in-place mutation;tuple unpacking;dictionary lookup;reversed condition,helper function extraction; import reorganization; standard library helper; binary search; sorting-based approach; state variable; list comprehension; sort key; type check; default value handling; slicing,helper function extraction;state variable;accumulator dict;copy before mutation;enumerate loop;list comprehension;sort key;lambda expression;sorting-based approach;early return;type check;boundary case handling;dictionary lookup;in-place mutation,helper function extraction;state variable;tuple unpacking;copy before mutation;enumerate loop;sorting-based approach;greedy strategy;default value handling;type check;in-place mutation,variable renaming;temporary variable;copy before mutation;enumerate loop;loop rewrite;list comprehension;tuple unpacking;sort key;conditional expression;guard clause;type check;default value handling;empty input handling;sweep line;sorting-based approach;behavior change
18,guard clause; type check; boundary case handling; temporary variable; conditional expression; formatting only,guard clause; helper function extraction; temporary variable; regex usage; memoization; standard library helper; import reorganization; type check,helper function extraction; state variable; accumulator list; list comprehension; copy before mutation; guard clause; type check; empty input handling; dictionary lookup; loop rewrite; membership test,loop rewrite;state variable;accumulator list;in-place mutation;guard clause;temporary variable;generator expression;formatting only,temporary variable; list comprehension; conditional expression; guard clause; type check; empty input handling; formatting only; join/split usage
19,variable renaming; loop rewrite; slicing; list comprehension; enumerate usage; type conversion; copy before mutation; temporary variable,loop rewrite; for loop; enumerate loop; odd-only sieve optimization; type conversion; copy before mutation; temporary variable; in-place mutation,trial division; accumulator list; loop rewrite; for loop; variable renaming; temporary variable; copy before mutation; type conversion,variable renaming; type conversion; linear sieve; loop rewrite; for loop; accumulator list; temporary variable; copy before mutation,type conversion; set conversion; membership test; in-place mutation; loop rewrite; while loop; temporary variable; copy before mutation; formatting only
