task_id,variant_1_label,variant_2_label,variant_3_label,variant_4_label,variant_5_label
10,helper function extraction; slicing; empty input handling,helper function extraction;loop rewrite;index-based loop;two pointer;early return;while loop,recursion with base case; guard clause; slicing,helper function extraction; builtin function; join/split usage,generator expression; any/all usage; index-based loop; helper function extraction
11,function renaming; helper function inlining; conditional expression; itertools usage; generator expression; boundary case handling,function renaming; helper function inlining; guard clause; type conversion; temporary variable; string formatting change; empty input handling; behavior change; builtin function,function renaming;recursion with base case;helper function extraction;index-based loop;accumulator string;temporary variable;import reorganization;boundary case handling;default value handling;behavior change,function renaming; helper function inlining; import reorganization; itertools usage; generator expression; builtin function; default value handling; boundary case handling; literal rewrite,function renaming; import reorganization; itertools usage; standard library helper; helper function inlining; generator expression; type conversion; default value handling; boundary case handling
12,helper function extraction;guard clause;loop rewrite;state variable;slicing;empty input handling;type annotations added;one-pass selection,helper function extraction; loop rewrite; enumerate loop; lambda expression; builtin function; tuple unpacking; import reorganization; standard library helper; empty input handling,helper function extraction; import reorganization; functools reduce; lambda expression; loop rewrite; accumulator string; empty input handling; type annotations,function renaming; import reorganization; loop rewrite; sort key; temporary variable; standard library helper,recursion with base case; guard clause; tuple unpacking; import reorganization; boundary case handling
13,helper function extraction; builtin function; boundary case handling,function renaming; recursion with base case; loop rewrite; guard clause; builtin function; boundary case handling,function renaming;loop rewrite;guard clause;temporary variable;input validation;boundary case handling;binary gcd,function renaming;helper function extraction;guard clause;for loop;brute force;boundary case handling;type conversion,loop rewrite;standard library helper;helper function extraction;import reorganization;boundary case handling
14,helper function extraction; list comprehension; loop rewrite; accumulator list; import reorganization; slicing,helper function extraction; loop rewrite; accumulator string; variable renaming; import reorganization,helper function extraction; loop rewrite; itertools usage; accumulator string; list conversion; import reorganization,function renaming; recursion; recursion with base case; guard clause; helper function extraction; loop rewrite; accumulator list; temporary variable; copy before mutation; slicing; standard library helper; empty input handling,loop rewrite; map/filter usage; lambda expression; helper function extraction; import reorganization; list conversion
15,helper function extraction; guard clause; input validation; map/filter usage,helper function extraction; guard clause; loop rewrite; for loop; accumulator list; list comprehension; input validation,recursion with base case; helper function extraction; guard clause; empty input handling; accumulator string; string formatting change,helper function extraction;guard clause;input validation;map/filter usage;functools reduce;lambda expression;import reorganization,function renaming; helper function extraction; guard clause; loop rewrite; for loop; accumulator string; sentinel flag; temporary variable; standard library helper; import reorganization; input validation; boundary case handling
16,helper function extraction; guard clause; empty input handling; set conversion; type hint addition,function renaming; loop rewrite; for loop; accumulator set; in-place mutation,helper function extraction; guard clause; generator expression; standard library helper; frequency counting; empty input handling,helper function extraction;functools reduce;lambda expression;accumulator set;guard clause;import reorganization;temporary variable,function renaming; helper function extraction; recursion with base case; accumulator set; in-place mutation; method renaming; behavior change
17,variable renaming; helper function extraction; import reorganization; standard library helper; temporary variable; join/split usage; list comprehension,helper function extraction; variable renaming; import reorganization; regex usage; standard library helper; list comprehension; dictionary lookup; empty input handling; type check,helper function extraction;while loop;index-based loop;accumulator list;in-place mutation;temporary variable;nested conditional;guard clause;import reorganization;boundary case handling;combined condition,helper function extraction; variable renaming; temporary variable; import reorganization; list comprehension; join/split usage; boundary case handling,helper function extraction; variable renaming; accumulator list; for loop; while loop; guard clause; nested conditional; membership test; dictionary lookup; join/split usage; boundary case handling; behavior change
18,function renaming; variable renaming; tuple unpacking; guard clause; input validation,loop rewrite;while loop;builtin function;guard clause;variable renaming;state variable;boundary case handling,guard clause; empty input handling; import reorganization; regex usage; standard library helper; generator expression; builtin function; loop rewrite,function renaming; guard clause; loop rewrite; while loop; tuple unpacking; in-place mutation; kmp algorithm; empty input handling; boundary case handling,function renaming; helper function extraction; recursion with base case; early return; empty input handling; slicing; standard library helper
19,variable renaming; helper function extraction; guard clause; empty input handling; join/split usage; in-place mutation; temporary variable; sort key,helper function extraction;guard clause;loop rewrite;for loop;accumulator dict;dict comprehension;frequency counting;empty input handling;join/split usage;accumulator list,helper function extraction; guard clause; try-except wrapper; in-place mutation; temporary variable; default value handling; empty input handling; list conversion,helper function extraction;variable renaming;dict comprehension;list comprehension;generator expression;dictionary lookup;in-place mutation;early return;empty input handling;join/split usage,variable renaming;helper function extraction;recursion with base case;divide and conquer;early return;empty input handling;join/split usage;dictionary lookup;accumulator list;temporary variable;while loop;slicing
20,sorting-based approach; loop rewrite; index-based loop; guard clause; input validation; sentinel flag; variable renaming; tuple unpacking; standard library helper; import reorganization; list conversion; behavior change,function renaming; variable renaming; loop rewrite; index-based loop; flattened conditional; guard clause; input validation; boundary case handling; temporary variable; tuple unpacking; conditional expression; standard library helper; brute force,function renaming; import reorganization; loop rewrite; itertools usage; lambda expression; guard clause; input validation; boundary case handling; conditional expression; tuple unpacking; brute force,sorting-based approach; loop rewrite; index-based loop; flattened conditional; tuple unpacking; temporary variable; input validation; boundary case handling; import reorganization; standard library helper,variable renaming; loop rewrite; accumulator list; in-place mutation; tuple unpacking; temporary variable; guard clause; input validation; bisect usage; sorting-based approach
21,variable renaming; helper function extraction; guard clause; early return; temporary variable; list comprehension; empty input handling; boundary case handling; type annotations; import reorganization,helper function extraction;variable renaming;import reorganization;map/filter usage;lambda expression;list conversion;early return;empty input handling;boundary case handling,helper function extraction; variable renaming; import reorganization; guard clause; empty input handling; boundary case handling; loop rewrite; for loop; accumulator list; temporary variable,helper function extraction;import reorganization;guard clause;try-except wrapper;empty input handling;variable renaming;temporary variable;list comprehension;error suppression,function renaming; variable renaming; import reorganization; helper function extraction; recursion; accumulator list; guard clause; empty input handling; boundary case handling
22,helper function extraction; import reorganization; list comprehension; type check; behavior change,helper function extraction;map/filter usage;lambda expression;list conversion;import reorganization;type check;behavior change,helper function extraction; function renaming; variable renaming; loop rewrite; for loop; accumulator list; in-place mutation; temporary variable; import reorganization; type check; boundary case handling,recursion with base case; helper function extraction; guard clause; tuple unpacking; combined condition; accumulator list; import reorganization; type check; empty input handling; behavior change,helper function extraction; import reorganization; functools reduce; lambda expression; accumulator list; combined condition; type check; behavior change
23,helper function extraction; builtin function; type annotations,helper function extraction; for loop; temporary variable; builtin function,recursion with base case; helper function extraction; function renaming; slicing; empty input handling,function renaming; helper function extraction; loop rewrite; for loop; enumerate loop; temporary variable; tuple unpacking,function renaming;while loop;index-based loop;try-except wrapper;state variable;brute force;behavior change
24,helper function extraction;guard clause;loop rewrite;for loop;temporary variable;boundary case handling;default value handling;type conversion,helper function extraction; loop rewrite; sqrt-based search; state variable; temporary variable; standard library helper; guard clause; boundary case handling; input validation; behavior change,helper function extraction;loop rewrite;guard clause;temporary variable;standard library helper;type conversion;boundary case handling;behavior change;import reorganization;sqrt-based factor search,helper function extraction; recursion with base case; loop rewrite; guard clause; boundary case handling; temporary variable; mathematical formula; builtin function,helper function extraction; loop rewrite; for loop; accumulator set; temporary variable; standard library helper; builtin function; conditional expression; boundary case handling; sqrt factorization
25,variable renaming; import reorganization; guard clause; helper function extraction; loop rewrite; accumulator list; input validation; type conversion; boundary case handling; trial division optimization,helper function extraction; guard clause; loop rewrite; for loop; while loop; accumulator list; temporary variable; input validation; boundary case handling; type conversion; import reorganization; variable renaming; mathematical formula,function renaming; import reorganization; guard clause; early return; loop rewrite; for loop; while loop; accumulator list; temporary variable; standard library helper; input validation; type conversion; boundary case handling,helper function extraction;recursion with base case;probabilistic factorization;miller rabin;pollard rho;loop rewrite;accumulator list;in-place mutation;tuple unpacking;early return;input validation;type conversion;import reorganization;standard library helper,variable renaming; import reorganization; early return; guard clause; loop rewrite; for loop; while loop; accumulator list; temporary variable; state variable; standard library helper; incremental prime generation; input validation; type conversion; boundary case handling
26,import reorganization; helper function extraction; variable renaming; type annotations; list comprehension,helper function extraction; variable renaming; for loop; list comprehension; accumulator list; accumulator dict; dictionary lookup; in-place mutation; import reorganization,function renaming; helper function extraction; import reorganization; builtin function; list comprehension; brute force; frequency counting,helper function extraction; import reorganization; set conversion; accumulator list; accumulator set; in-place mutation; membership test; for loop; frequency counting,import reorganization; helper function extraction; loop rewrite; for loop; accumulator dict; frequency counting; list comprehension
27,helper function extraction; type annotations,helper function extraction; function renaming; for loop; accumulator list,helper function extraction; import reorganization; standard library helper; temporary variable; behavior change,function renaming; helper function extraction; for loop; accumulator list; join/split usage; builtin function; combined condition; literal rewrite; brute force; temporary variable,function renaming; helper function extraction; import reorganization; regex usage; lambda expression
28,helper function extraction; import reorganization; type annotations; literal rewrite,helper function extraction;accumulator string;loop rewrite;for loop;import reorganization;standard library helper;type hint addition,helper function extraction; for loop; accumulator string; temporary variable; standard library helper; import reorganization,helper function extraction;recursion with base case;divide and conquer;early return;empty input handling;boundary case handling;slicing;import reorganization,helper function extraction;functools reduce;import reorganization;type annotations
29,helper function extraction; import reorganization; variable renaming; list comprehension; type annotations,helper function extraction; map/filter usage; lambda expression; list conversion; import reorganization; type annotations,helper function extraction; for loop; accumulator list; list comprehension; slicing; temporary variable,helper function extraction; recursion with base case; guard clause; tuple unpacking; import reorganization; empty input handling,helper function extraction; import reorganization; regex usage; guard clause; copy before mutation; empty input handling
30,variable renaming; helper function extraction; type annotation,helper function extraction; map/filter usage; lambda expression; list conversion,helper function extraction; loop rewrite; for loop; list comprehension; accumulator list; temporary variable; in-place mutation,list comprehension; helper function extraction; recursion with base case; guard clause; empty input handling; tuple unpacking,helper function extraction; loop rewrite; accumulator list; functools reduce; lambda expression
31,helper function extraction;guard clause;try-except wrapper;loop rewrite;sqrt-bound trial division;temporary variable;standard library helper;type conversion;input validation;boundary case handling,function renaming;loop rewrite;while loop;early return;guard clause;combined condition;temporary variable;type conversion;input validation;boundary case handling;try-except wrapper;sqrt trial division,function renaming;input validation;type check;type conversion;try-except wrapper;early return;for loop;while loop;temporary variable;state variable;builtin function;small-prime trial division;miller-rabin test,function renaming;import reorganization;try-except wrapper;type conversion;input validation;guard clause;early return;boundary case handling;standard library helper;mathematical formula;while loop;for loop;loop rewrite;in-place mutation;slicing;temporary variable;sieve of eratosthenes,guard clause; try-except wrapper; helper function extraction; recursion with base case; sqrt bound; odd-only iteration; input validation; type conversion; boundary case handling
32,helper function extraction; input validation; for loop; enumerate loop; temporary variable; in-place mutation,loop rewrite; for loop; prefix/suffix computation; state variable; empty input handling; builtin function,guard clause; for loop; temporary variable; state variable; empty input handling; helper function extraction,helper function extraction; recursion with base case; loop rewrite; guard clause; empty input handling; state variable,guard clause; empty input handling; generator expression; enumerate usage; standard library helper; import reorganization
33,helper function extraction; guard clause; empty input handling; list comprehension; enumerate loop; index-based loop; accumulator list; temporary variable; state variable; copy before mutation; in-place mutation,helper function extraction;list comprehension;enumerate loop;conditional expression;temporary variable;behavior change,function renaming;for loop;zip usage;list comprehension;generator expression;copy before mutation;temporary variable;behavior change,helper function extraction; recursion with base case; list comprehension; enumerate loop; temporary variable; accumulator list; builtin function,heap-based; standard library helper; import reorganization; enumerate loop; list comprehension; accumulator list; temporary variable; helper function extraction
34,helper function extraction; set conversion; list conversion; parameter type annotation,helper function extraction; temporary variable; standard library helper,helper function extraction; guard clause; empty input handling; sorting-based approach; loop rewrite; for loop; accumulator list; in-place mutation; temporary variable,guard clause; try-except wrapper; helper function extraction; tree traversal; recursion; accumulator list; state variable; set conversion; empty input handling; error suppression,helper function extraction;heap-based;standard library helper;accumulator set;accumulator list;membership test;early return;for loop;while loop;in-place mutation;import reorganization
35,helper function extraction; builtin function; empty input handling,helper function extraction;variable renaming;loop rewrite;guard clause;empty input handling;exception handling;builtin function;state variable,loop rewrite; functools reduce; lambda expression; conditional expression; helper function extraction; import reorganization; guard clause; input validation; empty input handling,recursion; helper function extraction; loop rewrite; divide and conquer; conditional expression; guard clause; input validation; empty input handling; behavior change; temporary variable,helper function extraction; guard clause; sorting-based approach; builtin function; empty input handling
36,loop rewrite;temporary variable;builtin function;frequency counting;accumulator list;accumulator string,variable renaming;helper function extraction;loop rewrite;split condition;set conversion;in-place mutation;generator expression;builtin function;frequency counting,variable renaming;accumulator list;accumulator set;loop rewrite;for loop;while loop;helper function extraction;split condition;membership test;early return;frequency counting;boundary case handling,helper function extraction;split condition;inclusion-exclusion;generator expression;builtin function;loop rewrite;frequency counting,helper function extraction;loop rewrite;split condition;accumulator list;generator expression;join/split usage;builtin function;behavior change
37,helper function extraction; slicing; builtin function; copy before mutation; in-place mutation; index-based loop; temporary variable; flattened conditional; list conversion,heap-based; standard library helper; helper function extraction; import reorganization; early return; empty input handling; index-based loop; list comprehension; copy before mutation; in-place mutation,function renaming; variable renaming; list comprehension; sort key; lambda expression; zip usage; index-based loop; tuple unpacking; copy before mutation; in-place mutation; temporary variable; sorting-based approach,function renaming; variable renaming; loop rewrite; index-based loop; brute force; sorting-based approach; copy before mutation; in-place mutation; tuple unpacking; temporary variable; list conversion,helper function extraction;recursion with base case;guard clause;loop rewrite;index-based loop;accumulator list;in-place mutation;slicing;builtin function;temporary variable
38,list comprehension; slicing; conditional expression; join/split usage; loop rewrite; temporary variable; accumulator list; boundary case handling; behavior change,while loop; index-based loop; accumulator list; tuple unpacking; temporary variable; in-place mutation; join/split usage; boundary case handling,helper function inlining;while loop;accumulator list;temporary variable;itertools usage;join/split usage;boundary case handling,import reorganization;regex usage;generator expression;conditional expression;slicing;temporary variable;join/split usage;boundary case handling,recursion with base case; guard clause; slicing; prefix/suffix computation; accumulator string; empty input handling; boundary case handling; behavior change
39,function renaming;variable renaming;helper function extraction;guard clause;loop rewrite;while loop;tuple unpacking;state variable;accumulator list;standard library helper;input validation;boundary case handling,function renaming;helper function extraction;loop rewrite;index-based loop;recursion with base case;divide and conquer;tuple unpacking;probabilistic primality;builtin function;import reorganization;guard clause;input validation;state variable;mathematical formula,function renaming; helper function extraction; probabilistic primality test; standard library helper; tuple unpacking; loop rewrite; accumulator list; state variable; guard clause; input validation; import reorganization,function renaming; helper function extraction; input validation; boundary case handling; loop rewrite; generator function; for loop; while loop; tuple unpacking; standard library helper; mathematical formula,function renaming; helper function extraction; import reorganization; guard clause; input validation; accumulator list; state variable; tuple unpacking; loop rewrite; combined condition; miller rabin; matrix exponentiation
40,helper function extraction;guard clause;for loop;temporary variable;brute force;boundary case handling,sorting-based approach; two pointer; loop rewrite; early return; temporary variable; boundary case handling,hash-based pair search; loop rewrite; accumulator set; membership test; guard clause; boundary case handling; temporary variable; brute force,helper function extraction; guard clause; loop rewrite; itertools usage; tuple unpacking; import reorganization,frequency counting; loop rewrite; itertools usage; standard library helper; accumulator dict; dictionary lookup; membership test; guard clause; tuple unpacking; boundary case handling
41,helper function extraction; guard clause; type conversion; boundary case handling; in-place mutation,function renaming; loop rewrite; for loop; temporary variable; in-place mutation; builtin function; type conversion; input validation; boundary case handling; brute force,function renaming; recursion with base case; guard clause; input validation; type conversion; behavior change,helper function extraction; import reorganization; guard clause; input validation; boundary case handling; type conversion; standard library helper; behavior change,function renaming;guard clause;type conversion;boundary case handling;generator expression;builtin function;mathematical formula
42,helper function extraction;variable renaming;list comprehension;type hints,helper function extraction; list comprehension; map/filter usage; lambda expression; list conversion; type annotation addition,helper function extraction;index-based loop;in-place mutation;behavior change,helper function extraction; recursion with base case; guard clause; empty input handling; list comprehension,helper function extraction; import reorganization; map/filter usage; itertools usage; list conversion; builtin function
43,loop rewrite; accumulator set; membership test; helper function extraction; early return,helper function extraction; guard clause; input validation; early return; loop rewrite; while loop; two pointer; sorting-based approach; standard library helper; variable renaming,function renaming; loop rewrite; frequency counting; standard library helper; dictionary lookup; boundary case handling,helper function extraction;index-based loop;temporary variable,loop rewrite; set conversion; membership test; frequency counting; helper function extraction; guard clause
44,function renaming; variable renaming; accumulator list; in-place mutation; loop rewrite; tuple unpacking; builtin function; join/split usage; guard clause; early return; input validation; boundary case handling; behavior change,function renaming;helper function extraction;loop rewrite;recursion with base case;guard clause;early return;builtin function;input validation;boundary case handling;behavior change,helper function extraction;guard clause;early return;input validation;boundary case handling;behavior change;variable renaming;temporary variable;tuple unpacking;accumulator list;in-place mutation;join/split usage;builtin function,function renaming;guard clause;input validation;boundary case handling;behavior change;loop rewrite;while loop;for loop;accumulator list;accumulator string;in-place mutation;tuple unpacking;builtin function;temporary variable;combined condition,helper function extraction;guard clause;early return;input validation;empty input handling;behavior change;loop rewrite;accumulator list;in-place mutation;join/split usage;tuple unpacking;builtin function;temporary variable;string formatting change
45,helper function extraction,helper function extraction; literal rewrite,try-except wrapper; helper function extraction; type conversion; input validation,helper function extraction;import reorganization;standard library helper;temporary variable;literal rewrite;type conversion,helper function extraction; import reorganization; standard library helper; type conversion; temporary variable; literal rewrite
46,guard clause; early return; split condition; input validation; boundary case handling; accumulator list; state variable; tuple unpacking; temporary variable; loop rewrite; variable renaming,sliding window; standard library helper; import reorganization; dictionary lookup; guard clause; input validation; membership test; builtin function; temporary variable; in-place mutation,function renaming;guard clause;early return;split condition;loop rewrite;while loop;sliding window;accumulator list;temporary variable;builtin function;input validation;boundary case handling,helper function extraction;matrix exponentiation;exponentiation by squaring;loop rewrite;early return;input validation;boundary case handling,variable renaming; accumulator list; copy before mutation; for loop; guard clause; input validation; temporary variable
47,helper function extraction;guard clause;empty input handling;exception handling;variable renaming;temporary variable;sorting-based approach,helper function extraction;guard clause;import reorganization;standard library helper;empty input handling;behavior change,heap-based; standard library helper; guard clause; empty input handling; temporary variable; import reorganization; helper function extraction,helper function extraction; recursion with base case; divide and conquer; list comprehension; standard library helper; empty input handling; guard clause,helper function extraction; import reorganization; guard clause; empty input handling; loop rewrite; accumulator list; for loop; standard library helper; in-place mutation; temporary variable
48,helper function extraction; loop rewrite; index-based loop; slicing; conditional expression,loop rewrite;while loop;two pointer;temporary variable;early return,loop rewrite; recursion with base case; guard clause; slicing,helper function extraction; loop rewrite; while loop; early return; two pointer; queue-based; standard library helper; import reorganization; temporary variable; in-place mutation,loop rewrite; generator expression; any/all usage; two pointer; helper function extraction
49,loop rewrite;builtin function;helper function extraction;guard clause;input validation;temporary variable,variable renaming; loop rewrite; while loop; guard clause; input validation; type conversion; temporary variable; binary exponentiation,loop rewrite;recursion with base case;helper function extraction;divide and conquer;guard clause;input validation;type conversion;temporary variable,binary exponentiation; loop rewrite; helper function extraction; guard clause; exception handling; early return; slicing; temporary variable; builtin function; input validation; type conversion; boundary case handling,loop rewrite;helper function extraction;guard clause;early return;split condition;try-except wrapper;builtin function;temporary variable;input validation;type conversion;boundary case handling;behavior change;mathematical formula
50,function renaming; helper function extraction; list comprehension; literal rewrite; behavior change,list comprehension; standard library helper; helper function extraction; temporary variable; slicing; literal rewrite,helper function extraction;for loop;list comprehension;accumulator list;temporary variable;split condition;boundary case handling;literal rewrite,helper function extraction; try-except wrapper; early return; loop rewrite; for loop; in-place mutation; standard library helper; accumulator list; temporary variable; boundary case handling; behavior change,list comprehension; recursion; helper function extraction; guard clause; accumulator string; temporary variable; membership test; literal rewrite; behavior change; empty input handling
51,helper function extraction; variable renaming; temporary variable; set conversion; generator expression; membership test; behavior change,helper function extraction;regex usage;import reorganization;literal rewrite;list comprehension,helper function extraction; dict comprehension; temporary variable; dictionary lookup; standard library helper,function renaming; helper function extraction; recursion; set conversion; membership test; guard clause; temporary variable; accumulator string,helper function extraction;map/filter usage;lambda expression;literal rewrite
52,helper function extraction; loop rewrite; flattened conditional; any/all usage; generator expression,variable renaming; helper function extraction,helper function extraction; function renaming; loop rewrite; any/all usage; generator expression,helper function extraction; guard clause; loop rewrite; builtin function; empty input handling,helper function extraction; recursion with base case; guard clause; slicing; empty input handling
53,helper function extraction; type check,helper function extraction; import reorganization; standard library helper,helper function extraction; while loop; split condition; brute force; in-place mutation,helper function extraction; while loop; early return; temporary variable; in-place mutation; type conversion; bitwise addition,helper function extraction; builtin function; type annotations added
54,helper function extraction; type annotations,helper function extraction; set conversion; standard library helper,helper function extraction;loop rewrite;for loop;accumulator set;in-place mutation;guard clause;membership test;temporary variable,helper function extraction; set comprehension; sorting-based approach; join/split usage; temporary variable,helper function extraction;for loop;accumulator dict;in-place mutation;dictionary lookup;guard clause;membership test
55,loop rewrite; for loop; recursion; tuple unpacking; state variable; guard clause; early return; boundary case handling; dynamic programming,guard clause; combined condition; literal rewrite; boundary case handling; recursion with base case,helper function extraction;memoization;standard library helper;parameter renaming;combined condition;boundary case handling,guard clause; helper function extraction; while loop; accumulator list; matrix exponentiation; boundary case handling; behavior change,helper function extraction;divide and conquer;mathematical formula;recursion with base case;tuple unpacking;input validation;exception handling;guard clause
56,variable renaming; helper function extraction; literal rewrite,accumulator list; in-place mutation; stack-based; helper function extraction; guard clause; variable renaming,loop rewrite; while loop; sentinel flag; copy before mutation; standard library helper; variable renaming; function renaming; brute force,helper function extraction;functools reduce;tuple unpacking;import reorganization;state variable;sentinel flag;combined condition,loop rewrite;itertools usage;list comprehension;accumulator list;list conversion;prefix/suffix computation;combined condition;guard clause;empty input handling;temporary variable
57,helper function extraction; flattened conditional; sliding window; sorting-based approach; generator expression; zip usage; any/all usage; tuple unpacking,helper function extraction; flattened conditional; type annotation,helper function extraction; guard clause; early return; index-based loop; state variable; sorting-based approach; boundary case handling,helper function extraction;guard clause;empty input handling;list comprehension;generator expression;temporary variable;any/all usage;adjacent difference,guard clause; early return; while loop; for loop; index-based loop; state variable; sorting-based approach; linear scan; boundary case handling; split condition
58,loop rewrite; set conversion; accumulator set; helper function extraction,loop rewrite; set conversion; set comprehension; membership test; temporary variable,variable renaming; helper function extraction; set conversion; accumulator list; loop rewrite; while loop; index-based loop; two pointer; sorting-based approach,variable renaming;loop rewrite;dictionary lookup;accumulator list;accumulator set;membership test;combined condition;in-place mutation;temporary variable,binary search; sorting-based approach; set conversion; accumulator list; accumulator set; helper function extraction; loop rewrite; guard clause; standard library helper; import reorganization
59,function renaming; helper function inlining; trial division; loop rewrite; while loop; in-place mutation; temporary variable; import reorganization; boundary case handling; type conversion,function renaming; helper function inlining; loop rewrite; while loop; early return; in-place mutation; temporary variable; standard library helper; prime factorization; boundary case handling; type conversion,function renaming; helper function extraction; recursion with base case; loop rewrite; while loop; early return; guard clause; temporary variable; boundary case handling; type conversion; trial division factorization,function renaming;early return;sieve-based factorization;loop rewrite;for loop;while loop;accumulator list;in-place mutation;standard library helper;import reorganization;boundary case handling;type conversion,function renaming; import reorganization; guard clause; helper function extraction; recursion with base case; accumulator list; standard library helper; while loop; miller-rabin; pollard rho; boundary case handling; behavior change
60,function renaming; guard clause; input validation; mathematical formula,helper function extraction; loop rewrite; for loop; guard clause; state variable; builtin function; boundary case handling,recursion with base case; guard clause; function renaming; boundary case handling,helper function extraction;guard clause;input validation;literal rewrite,helper function extraction; early return; boundary case handling; input validation; functools reduce; import reorganization
61,variable renaming; helper function extraction; type annotation,function renaming; guard clause; accumulator list; in-place mutation; stack-based,helper function extraction; recursion with base case; loop rewrite; guard clause; state variable,loop rewrite;while loop;accumulator string;temporary variable;brute force;variable renaming,loop rewrite; while loop; regex usage; accumulator string; temporary variable; brute force
