task_id,variant_1_label,variant_2_label,variant_3_label,variant_4_label,variant_5_label
62,helper function extraction;exception handling;input validation;empty input handling;boundary case handling;behavior change;list comprehension;tuple unpacking;for loop;list conversion;builtin function;variable renaming;temporary variable,function extraction; helper function extraction; exception handling; early return; loop rewrite; accumulator variable; temporary variable; type conversion; branch reordering; mathematical formula; behavior change,function extraction;import reorganization;input validation;empty input handling;early return;type conversion;behavior change;standard library helper;exception handling;temporary variable;list comprehension;tuple unpacking;loop rewrite;,function extraction; error handling; type conversion; conditional expression; list comprehension; builtin function; temporary variable; guard clause; loop rewrite; try-except wrapper; default value handling; mathematical formula;,helper function extraction;input validation;empty input handling;boundary case handling;default value handling;error suppression;behavior change;list comprehension;generator expression;loop rewrite;flattened conditional;nested
63,helper function extraction; input validation; exception handling; variable renaming; builtin function; temporary variable; tuple unpacking,helper function extraction; input validation; slicing; in-place mutation; temporary variable; type check,helper function extraction; input validation; error handling; slicing; variable renaming,helper function extraction; input validation; exception handling; temporary variable; slicing; builtin function; mathematical formula; in-place mutation; complex number usage,helper function extraction; input validation; exception handling; reshape; slicing; in-place mutation; temporary variable; boundary case handling
64,helper function extraction; import reorganization; type conversion; input validation; empty input handling; boundary case handling; algorithmic change; mathematical formula,import reorganization; type conversion; builtin function; input validation; empty input handling; behavior change; prefix/suffix computation; for loop; temporary variable; mathematical formula; tuple unpacking,helper function extraction; import reorganization; input validation; empty input handling; boundary case handling; type conversion; sliding window; deque usage; loop rewrite; temporary variable; behavior change,function definition; import reorganization; type conversion; input validation; empty input handling; boundary case handling; variable renaming; behavior change; algorithmic change; slicing; literal rewrite,helper function extraction; import reorganization; type conversion; input validation; empty input handling; boundary case handling; guard clause; temporary variable; variable renaming; exception handling; builtin function; slicing; algorithmic change;
65,function definition; parameter change; empty input handling; input validation; loop rewrite; standard library helper; deep copy; helper function extraction,helper function extraction; standard library helper; functools reduce; loop rewrite; input validation; type check; copy before mutation; variable renaming,function definition;parameter renaming;guard clause;empty input handling;input validation;list comprehension;accumulator set;accumulator dict;temporary variable;builtin function;reversed condition;early return;recursion;combined condition,stack-based; loop rewrite; helper function extraction; input validation; builtin function; standard library helper; copy before mutation; accumulator dict`,helper function extraction;recursion;divide and conquer;copy before mutation;input validation;list comprehension;builtin function
66,helper function extraction; import reorganization; type conversion; input validation; exception handling; temporary variable; literal rewrite,helper function extraction; standard library helper; temporary variable; input validation; exception handling; literal rewrite,helper function extraction; import reorganization; type conversion; temporary variable; literal rewrite; builtin function,helper function extraction; import reorganization; type conversion; temporary variable; error suppression; input validation; boundary case handling; type check; conditional expression; behavior change,helper function extraction; import reorganization; temporary variable; type conversion; boundary case handling; behavior change; conditional expression; type check; builtin function
67,function definition; nested function; constant definition,function definition; constant definition; mathematical formula; behavior change,function definition; constant definition; nested function; mathematical formula; bitwise operation; temporary variable,helper function extraction; algorithmic change; loop rewrite; bitwise operations; temporary variable; constant definition; early return,helper function extraction; constant definition; temporary variable; builtin function; tuple unpacking
68,function definition; import reorganization; type conversion; behavior change; builtin function,helper function extraction; loop rewrite; while loop; temporary variable; two pointer; binary search; conditional expression; variable renaming,function definition; import reorganization; type conversion; boolean array; membership test; slicing; empty input handling; behavior change,function extraction; type conversion; empty input handling; early return; behavior change; algorithmic change; boolean mask; linear scan; reversed condition; builtin function,helper function extraction; standard library helper; list conversion; exception handling; behavior change
69,helper function extraction; standard library helper; literal rewrite; import reorganization,helper function extraction; standard library helper; type conversion; temporary variable; conditional expression; builtin function; boundary case handling,helper function extraction; standard library helper; input validation; exception handling; temporary variable; literal rewrite; import reorganization**,helper function extraction; standard library helper; mathematical formula; temporary variable,helper function extraction; try-except wrapper; builtin function; standard library helper; type conversion; empty input handling; boundary case handling; type check
70,helper function extraction; import reorganization; literal rewrite,function extraction; standard library helper; input validation; list comprehension; type conversion; literal rewrite,function definition;import reorganization;type check;type conversion;builtin function;mathematical formula,helper function extraction; import reorganization; mathematical formula; type check; type conversion; boundary case handling,helper function extraction; import reorganization; builtin function; type conversion; lambda expression; nested conditional; behavior change
71,function definition; import reorganization; input validation; early return; loop rewrite; accumulator list; variable renaming; behavior change; type check; builtin function,function definition; input validation; type check; empty input handling; boundary case handling; loop rewrite; for loop; accumulator list; temporary variable; in-place mutation; mathematical formula; behavior,function definition; input validation; type check; empty input handling; boundary case handling; algorithmic change; recurrence relation; accumulator list; for loop; behavior change,helper function extraction;input validation;behavior change;type conversion;standard library helper;loop rewrite;accumulator list;import reorganization;mathematical formula,function definition; import reorganization; input validation; empty input handling; for loop; accumulator list; mathematical formula; behavior change; builtin function
72,behavior change; exception handling; guard clause; loop rewrite; mathematical formula; variable renaming; constant renaming; function definition; import reorganization,behavior change; exception handling; helper function extraction; variable renaming; mathematical formula; precomputation; list comprehension; builtin function; numpy usage; guard clause,function definition;parameter renaming;behavior change;reversed condition;exception handling;builtin function;mathematical formula;loop rewrite;variable renaming;import reorganization</code>,function extraction; variable renaming; input validation; behavior change; loop rewrite; mathematical formula; builtin function; numpy usage; temporary variable; conditional expression,function definition; input validation; exception handling; reversed condition; variable renaming; loop rewrite; mathematical formula; algorithmic change; boundary case handling; temporary variable; slicing; builtin function
73,helper function extraction; input validation; exception handling; type conversion; behavior change; variable renaming; literal rewrite; import reorganization,function definition; import reorganization; type conversion; temporary variable; empty input handling; input validation; any/all usage; exception handling; behavior change; mathematical formula; literal rewrite; boundary case handling,helper function extraction; function renaming; import reorganization; input validation; empty input handling; exception handling; behavior change; type conversion; temporary variable; conditional logic; builtin function; boundary case handling; literal,function renaming; helper function extraction; import reorganization; type check; empty input handling; input validation; type conversion; loop rewrite; accumulator list; list conversion; exception handling; behavior change,function definition; helper function extraction; recursion; type check; generator expression; type conversion; try-except wrapper; input validation; error suppression; mathematical formula; builtin function; literal rewrite
74,new function definition; import reorganization; type conversion; input validation; boundary case handling; exception handling; default value handling; early return; behavior change,function definition; type conversion; input validation; builtin function; behavior change; temporary variable; empty input handling; boundary case handling,function definition;standard library helper;exception handling;default value handling;type conversion;input validation;boundary case handling;mathematical formula;behavior change;flattened conditional,helper function extraction; standard library helper; exception handling; type conversion; default value handling; robustness: boundary case handling; mathematical formula; behavior change,helper function extraction; exception handling; type conversion; default value handling; boundary case handling; builtin function; flattened conditional; behavior change
75,function definition;default value handling;import reorganization;type conversion;empty input handling;guard clause;normalization;constant definition;boundary case handling;builtin function;epsilon comparison;behavior change;conditional logic;,helper function extraction; default value handling; import reorganization; type conversion; input validation; constant definition; empty input handling; boundary case handling; behavior change; mathematical formula; variable renaming; temporary variable,helper function extraction; import reorganization; type conversion; input validation; empty input handling; boundary case handling; mathematical formula; literal rewrite; guard clause; conditional expression; default value handling; constant definition,helper function extraction; function renaming; parameter renaming; import reorganization; type conversion; constant definition; mathematical formula; boundary case handling; empty input handling; behavior change; builtin function; conditional expression; nested conditional,function definition;default value handling;import reorganization;type conversion;input validation;constant definition;guard clause;empty input handling;boundary case handling;mathematical formula;algorithmic improvement;nested conditional
76,helper function extraction; type annotation; documentation; import reorganization; input validation; boundary case handling; type conversion; mathematical formula; default value handling; variable renaming; explicit variable declaration; matrix construction,function encapsulation;type conversion;input validation;default value handling;mathematical formula;temporary variable;variable renaming;safe normalization;nested function definition,helper function extraction; input validation; type conversion; mathematical formula; loop rewrite; accumulator list; builtin function; empty input handling; tuple unpacking; import reorganization,function definition; import reorganization; input validation; tensor reshaping; type conversion; robustness improvement; slicing; algorithmic change; data structure creation; tensor concatenation; copy before mutation; in-place mutation; helper function,helper function extraction; input validation; boundary case handling; type conversion; default value handling; slicing; mathematical formula; builtin function; temporary variable; in-place mutation; broadcasting; import reorganization
77,helper function extraction;combined condition;early return,function definition; algorithmic change; loop rewrite; in-place mutation,function definition;import reorganization;mathematical formula;builtin function;boundary case handling,function definition; combined condition; builtin function; algorithmic change,helper function extraction; builtin function; bitwise operation; mathematical formula
78,helper function extraction;input validation;empty input handling;early return;builtin function;generator expression;standard library helper;behavior change,helper function extraction;input validation;empty input handling;exception handling;early return;loop rewrite;standard library helper;builtin function,function definition; input validation; empty input handling; early return; for loop; temporary variable; standard library helper; any/all usage; behavior change`,helper function extraction; function renaming; input validation; empty input handling; early return; guard clause; temporary variable; literal rewrite,helper function extraction; behavior change; type conversion; empty input handling; exception handling; guard clause
79,helper function extraction; import reorganization; type conversion; input validation; boundary case handling; temporary variable; mathematical formula; behavior change,helper function extraction; import reorganization; type conversion; input validation; boundary case handling; standard library helper; mathematical formula; slicing; builtin function; behavior change,function definition; import reorganization; type conversion; input validation; exception handling; behavior change; combined condition; loop rewrite; accumulator list; builtin function; mathematical formula; list conversion,helper function extraction; import reorganization; input validation; type conversion; exception handling; slicing; temporary variable; mathematical formula; builtin function; boundary case handling; conditional expression; any/all usage,helper function extraction; import reorganization; type conversion; input validation; array reshaping; boundary case handling; mathematical formula; builtin function; behavior change; robustness`
80,helper function extraction; default value handling; import reorganization; input validation; type check; exception handling; type conversion; standard library helper; list conversion; empty input handling; early return; behavior,helper function extraction;default value handling;import reorganization;alias creation;input validation;type check;exception handling;type conversion;behavior change;guard clause;early return;empty input handling,helper function extraction; import reorganization; input validation; type check; exception handling; default value handling; loop rewrite; temporary variable; standard library helper; early return; guard clause; empty input handling,helper function extraction; import reorganization; input validation; type check; try-except wrapper; type conversion; default value handling; loop rewrite; behavior change; literal rewrite; empty input handling,function definition;input validation;type conversion;exception handling;for loop;accumulator list;behavior change;default value handling;algorithmic change
81,helper function extraction; parameter renaming; default value handling; import reorganization; string formatting change; type conversion; empty input handling; builtin function; guard clause; boundary case handling; combined condition; behavior change,function definition; import reorganization; documentation; type conversion; empty input handling; data structure transformation; robustness; algorithmic change; mathematical formula; conditional logic; default value handling; branch reordering; slicing,function definition; import reorganization; string formatting change; default value handling; type conversion; empty input handling; nan handling; algorithmic change; branch reordering; combined condition; temporary variable,function definition;default value handling;type conversion;empty input handling;early return;guard clause;loop rewrite;iterative algorithm;statistical filtering;boundary case handling;state variable;builtin function,helper function extraction; parameter renaming; default value handling; import reorganization; docstring; type conversion; builtin function; list comprehension; empty input handling; boundary case handling; generator expression; mathematical formula; temporary
82,helper function extraction; import reorganization; standard library helper; combined condition; default value handling,helper function extraction;exception handling;import reorganization;combined condition;behavior change,helper function extraction; import reorganization; temporary variable; builtin function; literal rewrite; behavior change,helper function extraction; import reorganization; behavior change; type check; flattened conditional; guard clause,helper function extraction; memoization; state variable; try-except wrapper; builtin function; combined condition; behavior change
83,helper function extraction; parameter renaming; default value handling; early return; conditional expression; type conversion; behavior change; algorithmic change; type check; builtin function; standard library helper; import reorganization,function definition; import reorganization; parameter renaming; behavior change; guard clause; temporary variable; conditional expression; type conversion; mathematical formula; default value handling; dictionary lookup; membership test; type check; empty,helper function extraction;early return;loop rewrite;nested conditional;behavior change;type conversion;default value handling;input validation;variable renaming;tuple unpacking;dictionary lookup;builtin function;,helper function extraction; parameter renaming; tuple unpacking; dict comprehension; builtin function; behavior change; type conversion; empty input handling; boundary case handling; mathematical formula; conditional expression; guard clause,helper function extraction;parameter renaming;variable renaming;tuple unpacking;dictionary lookup;guard clause;empty input handling;slicing;conditional expression;early return;type conversion;in-place mutation;
84,helper function extraction; parameter renaming; default value handling; input validation; behavior change; type inference; literal rewrite; variable renaming; built-in function; conditional expression,helper function extraction; parameter renaming; default value handling; input validation; exception handling; type check; empty input handling; boundary case handling; behavior change; conditional expression; slicing; builtin function,helper function extraction; parameter renaming; default value handling; empty input handling; input validation; type check; exception handling; type conversion; slicing; in-place mutation; builtin function; behavior change; robustness,function extraction; input validation; error handling; default value handling; type conversion; variable renaming; builtin function; shape normalization,helper function extraction; import reorganization; input validation; empty input handling; type check; default value handling; behavior change; type conversion; error suppression; literal rewrite
85,function extraction;variable renaming;temporary variable;input validation;type conversion;import reorganization;behavior change,function definition; type hint addition; import reorganization; variable renaming; temporary variable; type conversion; input validation; exception handling; behavior change; builtin function; method chaining; tensor layout change;,function extraction; import reorganization; type conversion; input validation; exception handling; temporary variable; variable renaming; behavior change; contiguous call,helper function extraction; parameter renaming; type conversion; input validation; exception handling; combined condition; builtin function; mathematical formula; temporary variable; contiguous memory allocation; import reorganization,helper function extraction; import reorganization; type conversion; input validation; exception handling; accumulator list; temporary variable; for loop; slicing; empty input handling; builtin function
86,helper function extraction; import reorganization; type conversion; input validation; type check; constant definition; boundary case handling,function definition; import reorganization; type conversion; type check; exception handling; builtin function; temporary variable; boundary case handling; mathematical formula,function definition; import reorganization; type conversion; type check; temporary variable; input validation; builtin function; mathematical formula,helper function extraction; import reorganization; type conversion; type check; constant definition; boundary case handling; conditional expression; mathematical formula; builtin function,helper function extraction; import reorganization; type conversion; boundary case handling; mathematical formula
87,helper function extraction; import reorganization; type check; type conversion; conditional expression; builtin function; in-place mutation; default value handling; behavior change,helper function extraction; import reorganization; input validation; type conversion; numpy array creation; builtin function; literal rewrite; behavior change; branch reordering,helper function extraction;import reorganization;type check;conditional expression;literal rewrite;slicing;in-place mutation;default value handling;behavior change;type conversion;builtin function,helper function extraction; import reorganization; temporary variable; in-place mutation; type check; conditional expression; builtin function; behavior change; default value handling,function definition; import reorganization; type conversion; conditional expression; branch reordering; input validation; literal rewrite; builtin function; behavior change
88,function definition; import reorganization; type conversion; builtin function; conditional expression; in-place mutation,function definition; import reorganization; type conversion; temporary variable; builtin function; conditional expression; literal rewrite,function definition; import reorganization; nested function; type conversion; input validation; default value handling; temporary variable; state variable; builtin function; type check; explicit type casting; in-place mutation; mathematical,function definition; import reorganization; type check; type conversion; conditional expression; builtin function; literal rewrite; default value handling; behavior change,function definition; import reorganization; type conversion; behavior change; conditional logic; default value handling; builtin function; temporary variable; slicing
89,helper function extraction; exception handling; type conversion; default value handling; standard library helper; mathematical formula; behavior change; string formatting change,helper function extraction; standard library helper; exception handling; try-except wrapper; string formatting change; type conversion; behavior change,helper function extraction; try-except wrapper; type conversion; default value handling; builtin function; conditional expression; split condition; tuple unpacking; join/split usage; slicing; string formatting change; literal,helper function extraction; try-except wrapper; type conversion; default value handling; standard library helper; conditional; mathematical formula; string formatting change; behavior change,helper function extraction;try-except wrapper;type conversion;default value handling;mathematical formula;behavior change;string formatting change
90,helper function extraction;import reorganization;formatting only;type conversion;conditional expression;builtin function;input validation;in-place mutation,helper function extraction; import reorganization; type conversion; conditional expression; builtin function; default value handling; temporary variable,helper function extraction;import reorganization;type conversion;conditional expression;behavior change;builtin function;in-place mutation;type check;attribute access;literal rewrite,helper function extraction; import reorganization; type conversion; conditional expression; builtin function; slicing; in-place mutation,helper function extraction; import reorganization; conditional expression; type check; type conversion; default value handling; literal rewrite; variable renaming
91,helper function extraction; standard library helper; type conversion; input validation; empty input handling; mathematical formula; numerical stability; boundary case handling; error suppression; variable renaming; builtin function,helper function extraction;standard library helper;exception handling;type conversion;input validation;behavior change;mathematical formula;literal rewrite,helper function extraction;import reorganization;type conversion;input validation;empty input handling;exception handling;behavior change;standard library helper;mathematical formula;data structure;numerical noise clamping,function definition;type conversion;input validation;empty input handling;boundary case handling;algorithmic change;standard library helper;mathematical formula;error suppression,function definition; mathematical formula; list comprehension; accumulator variable; zip usage; type conversion; input validation; empty input handling; boundary case handling; error suppression; behavior change
92,function definition; type check; type conversion; string formatting change; mathematical formula; behavior change; import reorganization,helper function extraction; default value handling; type conversion; input validation; mathematical formula; builtin function; conditional expression; branch reordering; behavior change; early return,function definition;import reorganization;behavior change;type check;type conversion;string formatting change;conditional expression;builtin function,function definition;behavior change;type check;mathematical formula;string formatting change;conditional expression;builtin function;literal rewrite,function definition; standard library helper; type conversion; mathematical formula; conditional logic; early return; branch reordering; robustness; nested function
93,function definition; constant definition; behavior change; nested function,function definition; constant definition; mathematical formula; operator change,helper function extraction; constant definition; temporary variable; behavior change; conditional statement,function definition; constant definition; mathematical formula; bitwise operation,function definition; constant definition; literal rewrite; type conversion; builtin function; mathematical formula; behavior change
94,helper function extraction; type conversion; behavior change; input validation; boundary case handling; conditional expression; in-place mutation; slicing; string formatting change,function definition;import reorganization;type conversion;input validation;slicing;helper function extraction;boundary case handling;default value handling;conditional logic;in-place mutation;builtin function,function definition;new import;input validation;type conversion;type check;helper function extraction;algorithmic change;boundary case handling;conditional expression;matrix construction;in-place mutation;mathemat,helper function extraction;function renaming;import reorganization;type conversion;input validation;guard clause;default value handling;literal rewrite;boundary case handling;nested conditional;builtin function;slicing;in,function definition;import reorganization;type conversion;input validation;slicing;helper function extraction;boundary case handling;default value handling;mathematical formula;in-place mutation;builtin
95,helper function extraction; import reorganization; input validation; empty input handling; early return; temporary variable; builtin function; type conversion; mathematical formula; einsum usage; method renaming; variable renaming;,helper function extraction;input validation;empty input handling;type conversion;loop rewrite;for loop;accumulator list;accumulator dict;builtin function;membership test;temporary variable;variable renaming;literal rewrite,helper function extraction; input validation; empty input handling; temporary variable; builtin function; mathematical formula; variable renaming; type conversion; constant renaming,function definition;library import;empty input handling;early return;temporary variable;robustness;builtin function;variable renaming;einsum usage;exception handling;try-except wrapper;branch,function definition; import reorganization; input validation; empty input handling; early return; builtin function; numerical stability; variable renaming; temporary variable; einsum usage; manual pseudoinverse calculation; tolerance calculation
96,helper function extraction; import reorganization; type conversion; input validation; boundary case handling; empty input handling; standard library helper; algorithmic change,function definition; import reorganization; type conversion; input validation; empty input handling; boundary case handling; temporary variable; mathematical formula; behavior change,function definition; import reorganization; input validation; empty input handling; algorithmic change; numpy striding,function definition; import reorganization; input validation; boundary case handling; type conversion; builtin function; exception handling; try-except wrapper; standard library helper; loop rewrite; for loop; slicing,function definition; import reorganization; input validation; boundary case handling; empty input handling; type conversion; data structure normalization; loop rewrite; sliding window; temporary variable
97,function extraction; type conversion; exception handling; input validation; behavior change; import reorganization; literal rewrite,function definition; type hints; import reorganization; input validation; temporary variable; exception handling; builtin function; type conversion; early return; boundary case handling; standard library helper,helper function extraction; import reorganization; input validation; type check; exception handling; behavior change; branch reordering; early return; builtin function; method renaming; type conversion; mathematical formula,helper function extraction; type check; input validation; type conversion; exception handling; tuple unpacking; pre-allocation; explicit type conversion; builtin function; in-place mutation; numpy.move,function definition; type hints; import reorganization; exception handling; behavior change; input validation; type check; empty input handling; boundary case handling; temporary variable; type conversion; mathematical formula; slicing
98,helper function extraction; import reorganization; type conversion; builtin function; empty input handling; exception handling; string formatting change; behavior change; temporary variable; pre-allocation; mathematical formula; in,helper function extraction; behavior change; exception handling; string formatting change; type conversion; numpy usage; mathematical formula; matrix multiplication; vectorized computation; temporary variable; variable renaming,helper function extraction; exception handling; behavior change; empty input handling; loop rewrite; itertools usage; literal rewrite; type conversion; import reorganization,helper function extraction; import reorganization; empty input handling; exception handling; behavior change; boundary case handling; builtin function; type conversion; loop rewrite; functools reduce; lambda expression; mathematical,helper function extraction; recursion; memoization; exception handling; empty input handling; type conversion; behavior change; list conversion
99,helper function extraction; import reorganization; type conversion; temporary variable; literal rewrite; variable renaming; behavior change,function definition; import reorganization; type conversion; exception handling; try-except wrapper; literal rewrite,function definition; import reorganization; nested function definition; type conversion; builtin function; type conversion; literal rewrite,helper function extraction; builtin function; type conversion; temporary variable; literal rewrite; robustness,helper function extraction; try-except wrapper; standard library helper; type conversion; import reorganization; literal rewrite; behavior change
100,function definition;import reorganization;documentation;input validation;exception handling;variable renaming;slicing;builtin function;algorithmic change;tensor reshaping,helper function extraction; input validation; type conversion; slicing; temporary variable; builtin function; mathematical formula; broadcasting; reshape; permute,function extraction; input validation; exception handling; loop rewrite; accumulator list; slicing; builtin function; tensor manipulation; algorithmic change,helper function extraction;input validation;mathematical formula;builtin function;slicing;permute;reshape,function renaming; input validation; exception handling; variable renaming; builtin function; tensor manipulation; import reorganization
101,function definition;module import;type conversion;builtin function;input validation;default value handling;accumulator list;for loop;exception handling;slicing;empty input handling;early return;,helper function extraction; type conversion; input validation; empty input handling; conditional expansion; list comprehension; builtin function; slicing; mathematical formula; data structure change,type conversion; input validation; exception handling; empty input handling; boundary case handling; accumulator list; loop rewrite; builtin function; tensor operations; behavior change,helper function extraction;import reorganization;type conversion;input validation;empty input handling;default value handling;accumulator list;builtin function;itertools usage;zip usage;list conversion;behavior change;error,helper function extraction; import reorganization; type conversion; data preprocessing; variable renaming; builtin function; default value handling; input validation; exception handling; accumulator list; slicing; library change; empty input
102,helper function extraction; temporary variable; builtin function; literal rewrite; type conversion; input validation; boundary case handling; slicing; method renaming,function definition; import reorganization; type conversion; temporary variable; tuple unpacking; builtin function; mathematical formula,helper function extraction; mathematical formula; temporary variable; type conversion; standard library helper,function definition; import reorganization; type conversion; tuple unpacking; builtin function; mathematical formula; temporary variable; literal rewrite,helper function extraction; mathematical formula; temporary variable; type conversion; builtin function
103,function definition;constant definition;nested function,function renaming; helper function extraction; temporary variable; mathematical formula,helper function extraction; temporary variable; builtin function; tuple unpacking; mathematical formula,function definition; constant definition; loop rewrite; bit manipulation; manual fixed-width arithmetic; temporary variable; state variable; combined condition,function definition; constant definition; variable renaming; nested function; loop rewrite; bitwise addition; in-place mutation; behavior change
104,function definition; input validation; exception handling; in-place mutation; accumulator variable; while loop; bitwise operation; mathematical formula,function definition; constant definition; input validation; exception handling; in-place mutation; early return; sentinel flag; combined condition; conditional expression; loop rewrite; bitwise operation; accumulator variable; algorithmic,function definition; input validation; exception handling; in-place mutation; early return; combined condition; mathematical formula; bitwise operations; temporary variable; builtin function; behavior change,helper function extraction; input validation; in-place mutation; conditional expression; temporary variable; loop rewrite; builtin function; tuple unpacking; accumulator variable; mathematical formula; algorithmic change,function definition; input validation; early return; in-place mutation; helper function extraction; recursion with base case; bitwise operations; modulo arithmetic; mathematical formula
105,helper function extraction;function renaming;type hints;import reorganization;documentation;input validation;type check;exception handling;tuple unpacking;builtin function;data structure transformation;slicing;,function extraction;algorithmic change;helper function extraction;input validation;variable renaming;type conversion;boundary case handling;tensor indexing;function documentation;type hints;import reorganization,helper function extraction;import reorganization;input validation;algorithmic change;nested loops;boundary case handling;accumulator list;type conversion;builtin function;tensor to scalar conversion,function extraction; docstring; input validation; variable renaming; data copying; behavior change; algorithmic change; type conversion; device transfer; helper function extraction; builtin function; formatting only; constant renaming,function definition;type hinting;import reorganization;documentation;input validation;variable renaming;device handling;tensor permutation;conditional logic;sentinel flag;data transformation;helper function extraction;boundary case handling;
