task_id,base_code_label,variant_1_label,variant_1_probability,variant_2_label,variant_2_probability,variant_3_label,variant_3_probability,variant_4_label,variant_4_probability,variant_5_label,variant_5_probability
RWPB/119,original,import reorganization; temporary variable; type conversion; input validation; nested conditional; guard clause; mathematical formula; standard library helper,0.28,import reorganization;guard clause;input validation;type conversion;temporary variable;literal rewrite;helper function extraction,0.25,mathematical formula;guard clause;exception handling;input validation;type conversion;temporary variable,0.2,import reorganization; guard clause; temporary variable; input validation; type conversion; boundary case handling; mathematical formula,0.15,import reorganization; standard library helper; loop rewrite; for loop; input validation; type conversion; accumulator list; temporary variable; literal rewrite,0.12
RWPB/139,original,import reorganization; guard clause; input validation; type conversion; default value handling; boundary case handling; behavior change; combined condition; recursion; helper function extraction; temporary variable; tuple unpacking; unit vector normalization,0.28,import reorganization;input validation;type check;guard clause;exception handling;split condition;recursion with base case;type conversion;default value handling;mathematical formula;temporary variable;numpy usage;boundary case handling,0.22,guard clause;exception handling;input validation;type check;type conversion;boundary case handling;import reorganization;numpy interop;sentinel flag;temporary variable,0.18,input validation; type check; type conversion; import reorganization; temporary variable; builtin function; recursion; boundary case handling; behavior change,0.16,import reorganization; helper function extraction; recursion; input validation; type conversion; default value handling; exception handling; boundary case handling; standard library helper; loop rewrite,0.15
RWPB/97,original,import reorganization; helper function extraction; guard clause; input validation; type check; boundary case handling; nested conditional; temporary variable; type conversion; behavior change,0.35,import reorganization;try-except wrapper;input validation;boundary case handling;type conversion;temporary variable;branch reordering;function renaming,0.25,input validation; type check; boundary case handling; exception handling; behavior change; early return; nested conditional; tuple unpacking; temporary variable; copy before mutation; import reorganization,0.15,import reorganization;branch reordering;guard clause;early return;nested conditional;loop rewrite;for loop;tuple unpacking;temporary variable;in-place mutation;type conversion;input validation;boundary case handling;behavior change,0.15,import reorganization; input validation; guard clause; exception handling; empty input handling; type conversion; tuple unpacking; temporary variable; copy before mutation; membership test; behavior change,0.1
RWPB/8,original,import reorganization;variable renaming;temporary variable;input validation;boundary case handling;guard clause;split condition;standard library helper;type conversion,0.28,import reorganization; temporary variable; copy before mutation; early return; input validation; boundary case handling; standard library helper,0.22,import reorganization; helper function extraction; split condition; early return; exception handling; input validation; boundary case handling; type conversion; behavior change; temporary variable; copy before mutation,0.18,variable renaming;temporary variable;helper function extraction;import reorganization;guard clause;exception handling;input validation;copy before mutation;type conversion;behavior change,0.17,behavior change; input validation; boundary case handling; type conversion; copy before mutation; temporary variable; early return; nested conditional; exception handling; slicing,0.15
RWPB/35,original,helper function extraction; accumulator dict; guard clause; type check; recursion with base case; in-place mutation; combined condition; string formatting change; type conversion; behavior change,0.3,loop rewrite;stack-based;accumulator dict;in-place mutation;type check;empty input handling;string formatting change;helper function extraction;variable renaming,0.25,helper function extraction; generator expression; guard clause; recursion with base case; string formatting change; type conversion; empty input handling; combined condition,0.15,loop rewrite; queue-based; accumulator dict; standard library helper; early return; input validation; string formatting change,0.15,helper function extraction; accumulator dict; in-place mutation; recursion with base case; early return; type check; empty input handling; behavior change; import reorganization; string formatting change; standard library helper,0.15
RWPB/64,original,import reorganization; helper function extraction; type conversion; input validation; empty input handling; early return; temporary variable; sliding window; behavior change,0.35,variable renaming; import reorganization; nested function; guard clause; temporary variable; type conversion; input validation; empty input handling; boundary case handling; behavior change; prefix/suffix computation,0.25,import reorganization; for loop; brute force; early return; input validation; empty input handling; boundary case handling; type conversion; temporary variable,0.15,variable renaming; import reorganization; helper function extraction; guard clause; early return; try-except wrapper; sliding window; prefix/suffix computation; input validation; empty input handling; boundary case handling; behavior change; type conversion; standard library helper,0.15,import reorganization; type conversion; input validation; empty input handling; early return; for loop; brute force; sliding window; in-place mutation; temporary variable; behavior change,0.1
RWPB/50,original,variable renaming; import reorganization; helper function extraction; early return; split condition; exception handling; input validation; boundary case handling; behavior change; temporary variable; tuple unpacking; slicing; type check,0.32,variable renaming; tuple unpacking; temporary variable; import reorganization; early return; flattened conditional; input validation; boundary case handling; exception handling; standard library helper; behavior change,0.24,variable renaming; import reorganization; tuple unpacking; temporary variable; nested conditional; combined condition; early return; exception handling; input validation; boundary case handling; standard library helper,0.18,variable renaming;guard clause;nested conditional;temporary variable;import reorganization;standard library helper;type conversion;input validation;boundary case handling;behavior change,0.16,variable renaming; import reorganization; helper function extraction; for loop; while loop; accumulator list; tuple unpacking; temporary variable; early return; input validation; brute force; boundary case handling,0.1
RWPB/11,original,variable renaming; helper function extraction; guard clause; early return; flattened conditional; conditional expression; temporary variable; list conversion; import reorganization; input validation; empty input handling; type check; boundary case handling; exception handling,0.35,guard clause; early return; flattened conditional; conditional expression; temporary variable; slicing; itertools usage; list conversion; input validation; type check; empty input handling; default value handling; boundary case handling; behavior change; import reorganization; exception handling,0.22,guard clause; early return; list comprehension; index-based loop; temporary variable; input validation; type check; empty input handling; boundary case handling; helper function extraction; import reorganization; behavior change,0.18,recursion; helper function extraction; input validation; type check; empty input handling; boundary case handling; early return; list conversion; import reorganization; exception handling; behavior change,0.15,guard clause; early return; input validation; type check; empty input handling; boundary case handling; behavior change; list conversion; temporary variable; import reorganization,0.1
RWPB/40,original,try-except wrapper; early return; helper function extraction; tree traversal; standard library helper; accumulator list; temporary variable; in-place mutation; loop rewrite; empty input handling,0.28,try-except wrapper;guard clause;enumerate loop;while loop;combined condition;standard library helper;import reorganization;accumulator list;temporary variable;list comprehension;input validation;empty input handling;boundary case handling;error suppression,0.22,import reorganization; try-except wrapper; early return; guard clause; conditional expression; combined condition; enumerate loop; helper function extraction; temporary variable; list comprehension; standard library helper; join/split usage; empty input handling; boundary case handling; error suppression; behavior change,0.18,import reorganization; regex usage; standard library helper; try-except wrapper; early return; guard clause; accumulator list; for loop; while loop; index-based loop; empty input handling; boundary case handling; error suppression,0.16,import reorganization;try-except wrapper;guard clause;accumulator list;list conversion;standard library helper;join/split usage;ast-based parsing;empty input handling;boundary case handling;error suppression,0.16
RWPB/74,original,import reorganization;standard library helper;temporary variable;type conversion;guard clause;early return;boundary case handling;type check;mathematical formula;behavior change,0.32,import reorganization;variable renaming;temporary variable;guard clause;conditional expression;standard library helper;input validation;boundary case handling;type conversion;helper function extraction,0.22,helper function extraction; guard clause; tuple unpacking; temporary variable; standard library helper; import reorganization; input validation; type conversion; boundary case handling; mathematical formula,0.18,variable renaming;helper function extraction;guard clause;flattened conditional;temporary variable;type conversion;import reorganization;standard library helper;input validation;boundary case handling;behavior change,0.15,import reorganization; standard library helper; helper function extraction; type conversion; input validation; boundary case handling; temporary variable; tuple unpacking; geometric orientation,0.13
RWPB/25,original,import reorganization;guard clause;helper function extraction;for loop;tuple unpacking;temporary variable;input validation;type conversion;binarization preprocessing,0.28,variable renaming; import reorganization; early return; while loop; temporary variable; input validation; type conversion; morphological closing; morphological reconstruction; otsu thresholding; helper function extraction,0.22,connected-components approach;import reorganization;helper function extraction;guard clause;input validation;tuple unpacking;accumulator set;in-place mutation;for loop;type conversion,0.18,queue-based; while loop; for loop; helper function extraction; import reorganization; variable renaming; state variable; in-place mutation; tuple unpacking; standard library helper; input validation; type conversion; boundary case handling,0.2,import reorganization;guard clause;combined condition;enumerate loop;in-place mutation;temporary variable;contour-based filling;input validation;type conversion;boundary case handling,0.12
RWPB/87,original,import reorganization; helper function extraction; temporary variable; literal rewrite; standard library helper; type conversion; behavior change,0.28,variable renaming; import reorganization; literal rewrite; in-place mutation; temporary variable; type conversion; helper function extraction; behavior change,0.22,import reorganization; in-place mutation; temporary variable; guard clause; type conversion; behavior change,0.18,import reorganization; helper function extraction; guard clause; type conversion; temporary variable; slicing; in-place mutation; standard library helper,0.2,import reorganization; helper function extraction; in-place mutation; temporary variable; type conversion; behavior change,0.12
RWPB/129,original,variable renaming; guard clause; early return; tuple unpacking; temporary variable; import reorganization; mathematical formula; type conversion; input validation; boundary case handling,0.3,import reorganization; variable renaming; tuple unpacking; guard clause; type conversion; type check; boundary case handling; behavior change,0.25,import reorganization;loop rewrite;for loop;index-based loop;accumulator list;temporary variable;tuple unpacking;brute force;helper function extraction;type conversion;boundary case handling;nested conditional;behavior change,0.2,import reorganization; tuple unpacking; temporary variable; early return; affine grid sampling; type conversion; input validation; boundary case handling; membership test,0.15,variable renaming; tuple unpacking; import reorganization; guard clause; conditional expression; membership test; type conversion; boundary case handling; mathematical formula; helper function extraction,0.1
RWPB/138,original,variable renaming; import reorganization; guard clause; helper function extraction; temporary variable; input validation; type conversion; boundary case handling; exception handling; standard library helper,0.3,mathematical formula;helper function extraction;import reorganization;input validation;type conversion;boundary case handling;in-place mutation;temporary variable,0.25,guard clause;combined condition;helper function extraction;temporary variable;input validation;type conversion;boundary case handling;mathematical formula;numpy vectorized transform;vector renormalization;import reorganization,0.2,loop rewrite; index-based loop; input validation; type conversion; guard clause; boundary case handling; tuple unpacking; temporary variable; import reorganization; behavior change,0.15,import reorganization;input validation;type conversion;guard clause;exception handling;behavior change;boundary case handling;helper function extraction;temporary variable;tuple unpacking;literal rewrite,0.1
RWPB/96,original,import reorganization;guard clause;input validation;empty input handling;type conversion;temporary variable;helper function extraction;sliding window,0.35,guard clause; input validation; type conversion; copy before mutation; prefix/suffix computation; import reorganization; helper function extraction,0.25,sliding window; loop rewrite; for loop; guard clause; input validation; type conversion; import reorganization; temporary variable; state variable,0.15,sliding window; stride_tricks usage; import reorganization; input validation; empty input handling; type conversion; temporary variable,0.15,import reorganization; guard clause; try-except wrapper; helper function extraction; type conversion; boundary case handling; sliding window; standard library helper; error suppression,0.1
RWPB/9,original,,0.3,,0.25,,0.2,,0.15,,0.1
RWPB/34,original,original,0.0,original,0.0,original,0.0,original,0.0,original,0.0
RWPB/65,original,original,0.0,original,0.0,original,0.0,original,0.0,original,0.0
RWPB/51,original,original,0.0,original,0.0,original,0.0,original,0.0,original,0.0
RWPB/10,original,original,0.0,original,0.0,original,0.0,original,0.0,original,0.0
RWPB/41,original,original,0.0,original,0.0,original,0.0,original,0.0,original,0.0
RWPB/75,original,original,0.0,original,0.0,original,0.0,original,0.0,original,0.0
RWPB/24,original,original,0.0,original,0.0,original,0.0,original,0.0,original,0.0
RWPB/86,original,original,0.0,original,0.0,original,0.0,original,0.0,original,0.0
RWPB/128,original,original,0.0,original,0.0,original,0.0,original,0.0,original,0.0
RWPB/108,original,original,0.0,original,0.0,original,0.0,original,0.0,original,0.0
RWPB/55,original,original,0.0,original,0.0,original,0.0,original,0.0,original,0.0
RWPB/92,original,original,0.0,original,0.0,original,0.0,original,0.0,original,0.0
RWPB/61,original,original,0.0,original,0.0,original,0.0,original,0.0,original,0.0
RWPB/30,original,original,0.0,original,0.0,original,0.0,original,0.0,original,0.0
RWPB/20,original,original,0.0,original,0.0,original,0.0,original,0.0,original,0.0
RWPB/71,original,original,0.0,original,0.0,original,0.0,original,0.0,original,0.0
RWPB/82,original,original,0.0,original,0.0,original,0.0,original,0.0,original,0.0
RWPB/45,original,original,0.0,original,0.0,original,0.0,original,0.0,original,0.0
RWPB/14,original,original,0.0,original,0.0,original,0.0,original,0.0,original,0.0
RWPB/118,original,original,0.0,original,0.0,original,0.0,original,0.0,original,0.0
RWPB/6,original,original,0.0,original,0.0,original,0.0,original,0.0,original,0.0
RWPB/99,original,original,0.0,original,0.0,original,0.0,original,0.0,original,0.0
RWPB/137,original,original,0.0,original,0.0,original,0.0,original,0.0,original,0.0
RWPB/103,original,original,0.0,original,0.0,original,0.0,original,0.0,original,0.0
RWPB/113,original,original,0.0,original,0.0,original,0.0,original,0.0,original,0.0
RWPB/127,original,original,0.0,original,0.0,original,0.0,original,0.0,original,0.0
RWPB/89,original,original,0.0,original,0.0,original,0.0,original,0.0,original,0.0
RWPB/2,original,original,0.0,original,0.0,original,0.0,original,0.0,original,0.0
RWPB/107,original,original,0.0,original,0.0,original,0.0,original,0.0,original,0.0
RWPB/133,original,original,0.0,original,0.0,original,0.0,original,0.0,original,0.0
RWPB/123,original,original,0.0,original,0.0,original,0.0,original,0.0,original,0.0
RWPB/117,original,original,0.0,original,0.0,original,0.0,original,0.0,original,0.0
RWPB/3,original,original,0.0,original,0.0,original,0.0,original,0.0,original,0.0
RWPB/106,original,original,0.0,original,0.0,original,0.0,original,0.0,original,0.0
RWPB/132,original,original,0.0,original,0.0,original,0.0,original,0.0,original,0.0
RWPB/122,original,original,0.0,original,0.0,original,0.0,original,0.0,original,0.0
RWPB/116,original,original,0.0,original,0.0,original,0.0,original,0.0,original,0.0
RWPB/7,original,original,0.0,original,0.0,original,0.0,original,0.0,original,0.0
RWPB/98,original,original,0.0,original,0.0,original,0.0,original,0.0,original,0.0
RWPB/136,original,original,0.0,original,0.0,original,0.0,original,0.0,original,0.0
RWPB/102,original,original,0.0,original,0.0,original,0.0,original,0.0,original,0.0
RWPB/112,original,original,0.0,original,0.0,original,0.0,original,0.0,original,0.0
RWPB/126,original,original,0.0,original,0.0,original,0.0,original,0.0,original,0.0
RWPB/88,original,original,0.0,original,0.0,original,0.0,original,0.0,original,0.0
RWPB/58,original,original,0.0,original,0.0,original,0.0,original,0.0,original,0.0
RWPB/105,original,original,0.0,original,0.0,original,0.0,original,0.0,original,0.0
RWPB/131,original,original,0.0,original,0.0,original,0.0,original,0.0,original,0.0
RWPB/121,original,original,0.0,original,0.0,original,0.0,original,0.0,original,0.0
RWPB/115,original,original,0.0,original,0.0,original,0.0,original,0.0,original,0.0
RWPB/48,original,original,0.0,original,0.0,original,0.0,original,0.0,original,0.0
RWPB/19,original,original,0.0,original,0.0,original,0.0,original,0.0,original,0.0
RWPB/4,original,original,0.0,original,0.0,original,0.0,original,0.0,original,0.0
RWPB/39,original,original,0.0,original,0.0,original,0.0,original,0.0,original,0.0
RWPB/68,original,original,0.0,original,0.0,original,0.0,original,0.0,original,0.0
RWPB/135,original,original,0.0,original,0.0,original,0.0,original,0.0,original,0.0
RWPB/101,original,original,0.0,original,0.0,original,0.0,original,0.0,original,0.0
RWPB/111,original,original,0.0,original,0.0,original,0.0,original,0.0,original,0.0
RWPB/140,original,original,0.0,original,0.0,original,0.0,original,0.0,original,0.0
RWPB/125,original,original,0.0,original,0.0,original,0.0,original,0.0,original,0.0
RWPB/78,original,original,0.0,original,0.0,original,0.0,original,0.0,original,0.0
RWPB/29,original,original,0.0,original,0.0,original,0.0,original,0.0,original,0.0
RWPB/5,original,original,0.0,original,0.0,original,0.0,original,0.0,original,0.0
RWPB/38,original,original,0.0,original,0.0,original,0.0,original,0.0,original,0.0
RWPB/69,original,original,0.0,original,0.0,original,0.0,original,0.0,original,0.0
RWPB/134,original,original,0.0,original,0.0,original,0.0,original,0.0,original,0.0
RWPB/100,original,original,0.0,original,0.0,original,0.0,original,0.0,original,0.0
RWPB/110,original,original,0.0,original,0.0,original,0.0,original,0.0,original,0.0
RWPB/124,original,original,0.0,original,0.0,original,0.0,original,0.0,original,0.0
RWPB/79,original,original,0.0,original,0.0,original,0.0,original,0.0,original,0.0
RWPB/28,original,original,0.0,original,0.0,original,0.0,original,0.0,original,0.0
RWPB/1,original,original,0.0,original,0.0,original,0.0,original,0.0,original,0.0
RWPB/59,original,original,0.0,original,0.0,original,0.0,original,0.0,original,0.0
RWPB/104,original,original,0.0,original,0.0,original,0.0,original,0.0,original,0.0
RWPB/130,original,original,0.0,original,0.0,original,0.0,original,0.0,original,0.0
RWPB/120,original,original,0.0,original,0.0,original,0.0,original,0.0,original,0.0
RWPB/114,original,original,0.0,original,0.0,original,0.0,original,0.0,original,0.0
RWPB/49,original,original,0.0,original,0.0,original,0.0,original,0.0,original,0.0
RWPB/18,original,original,0.0,original,0.0,original,0.0,original,0.0,original,0.0
RWPB/66,original,original,0.0,original,0.0,original,0.0,original,0.0,original,0.0
RWPB/37,original,original,0.0,original,0.0,original,0.0,original,0.0,original,0.0
RWPB/95,original,original,0.0,original,0.0,original,0.0,original,0.0,original,0.0
RWPB/52,original,original,0.0,original,0.0,original,0.0,original,0.0,original,0.0
RWPB/42,original,original,0.0,original,0.0,original,0.0,original,0.0,original,0.0
RWPB/13,original,original,0.0,original,0.0,original,0.0,original,0.0,original,0.0
RWPB/85,original,original,0.0,original,0.0,original,0.0,original,0.0,original,0.0
RWPB/27,original,original,0.0,original,0.0,original,0.0,original,0.0,original,0.0
RWPB/76,original,original,0.0,original,0.0,original,0.0,original,0.0,original,0.0
RWPB/56,original,original,0.0,original,0.0,original,0.0,original,0.0,original,0.0
RWPB/33,original,original,0.0,original,0.0,original,0.0,original,0.0,original,0.0
RWPB/62,original,original,0.0,original,0.0,original,0.0,original,0.0,original,0.0
RWPB/91,original,original,0.0,original,0.0,original,0.0,original,0.0,original,0.0
RWPB/81,original,original,0.0,original,0.0,original,0.0,original,0.0,original,0.0
RWPB/72,original,original,0.0,original,0.0,original,0.0,original,0.0,original,0.0
RWPB/23,original,original,0.0,original,0.0,original,0.0,original,0.0,original,0.0
RWPB/17,original,original,0.0,original,0.0,original,0.0,original,0.0,original,0.0
RWPB/46,original,original,0.0,original,0.0,original,0.0,original,0.0,original,0.0
RWPB/57,original,original,0.0,original,0.0,original,0.0,original,0.0,original,0.0
RWPB/32,original,original,0.0,original,0.0,original,0.0,original,0.0,original,0.0
RWPB/63,original,original,0.0,original,0.0,original,0.0,original,0.0,original,0.0
RWPB/90,original,original,0.0,original,0.0,original,0.0,original,0.0,original,0.0
RWPB/80,original,original,0.0,original,0.0,original,0.0,original,0.0,original,0.0
RWPB/73,original,original,0.0,original,0.0,original,0.0,original,0.0,original,0.0
RWPB/22,original,original,0.0,original,0.0,original,0.0,original,0.0,original,0.0
RWPB/16,original,original,0.0,original,0.0,original,0.0,original,0.0,original,0.0
RWPB/47,original,original,0.0,original,0.0,original,0.0,original,0.0,original,0.0
RWPB/67,original,original,0.0,original,0.0,original,0.0,original,0.0,original,0.0
RWPB/36,original,original,0.0,original,0.0,original,0.0,original,0.0,original,0.0
RWPB/94,original,original,0.0,original,0.0,original,0.0,original,0.0,original,0.0
RWPB/53,original,original,0.0,original,0.0,original,0.0,original,0.0,original,0.0
RWPB/43,original,original,0.0,original,0.0,original,0.0,original,0.0,original,0.0
RWPB/12,original,original,0.0,original,0.0,original,0.0,original,0.0,original,0.0
RWPB/84,original,original,0.0,original,0.0,original,0.0,original,0.0,original,0.0
RWPB/26,original,original,0.0,original,0.0,original,0.0,original,0.0,original,0.0
RWPB/77,original,original,0.0,original,0.0,original,0.0,original,0.0,original,0.0
