task_id,base_code_label,variant_1_label,variant_1_probability,variant_2_label,variant_2_probability,variant_3_label,variant_3_probability,variant_4_label,variant_4_probability,variant_5_label,variant_5_probability
56,original,stateful-to-stateless;helper function inlining;generator expression;builtin function;zip usage;temporary variable;conditional expression;loop rewrite;variable renaming;frequency counting;empty input handling,0.3,method renaming; variable renaming; helper function extraction; tuple unpacking; temporary variable; conditional expression; in-place mutation,0.25,helper function inlining; state variable; in-place mutation; generator expression; builtin function; zip usage; guard clause; conditional expression; frequency counting; temporary variable,0.2,loop rewrite; conditional expression; frequency counting; numpy usage; vectorized computation; array conversion; stateless refactor,0.15,helper function extraction;standard library helper;generator expression;conditional expression;tuple unpacking;zip usage;temporary variable,0.1
57,original,variable renaming; type check; early return; flattened conditional; loop rewrite; list conversion; tuple unpacking; prefix/suffix computation; type conversion,0.3,helper function extraction;flattened conditional;combined condition;for loop;enumerate loop;list conversion;accumulator list;temporary variable;builtin function;import reorganization;early return;type conversion;boundary case handling,0.25,helper function extraction;enumerate loop;list comprehension;loop rewrite;variable renaming;type check;input validation;empty input handling;import reorganization;early return;type conversion,0.2,helper function extraction;enumerate loop;import reorganization;type check;guard clause;accumulator list;type conversion,0.15,helper function extraction;map/filter usage;lambda expression;enumerate loop;type check;guard clause;early return;conditional expression;list conversion;tuple unpacking;input validation;empty input handling,0.1
58,original,method renaming; variable renaming; parameter renaming; list comprehension; set conversion; accumulator set; tuple unpacking; loop rewrite; while loop; queue-based; early return; guard clause; input validation; boundary case handling; standard library helper; membership test,0.3,method renaming; variable renaming; parameter renaming; accumulator set; tuple unpacking; loop rewrite; list comprehension; guard clause; combined condition; boundary case handling; duplicate prevention,0.25,method renaming;helper function extraction;helper function inlining;import reorganization;itertools usage;list conversion;set conversion;tuple unpacking;list comprehension;loop rewrite;stack-based;early return;guard clause;combined condition;input validation;boundary case handling;default value handling;sampling without replacement,0.18,method renaming;variable renaming;parameter renaming;helper function inlining;loop rewrite;while loop;for loop;list comprehension;tuple unpacking;temporary variable;early return;guard clause;sentinel flag;input validation;boundary case handling;combined condition;branch reordering;standard library helper,0.17,method renaming;variable renaming;parameter renaming;list comprehension;set conversion;tuple unpacking;loop rewrite;guard clause;standard library helper;queue-based;input validation;boundary case handling;behavior change,0.1
59,original,variable renaming;tuple unpacking;accumulator list;temporary variable;state variable;guard clause;early return;in-place mutation;input validation;boundary case handling;behavior change;loop rewrite,0.28,helper function extraction; list conversion; list comprehension; tuple unpacking; input validation; variable renaming; literal rewrite; import reorganization; conditional expression; early return,0.22,helper function extraction; standard library helper; import reorganization; accumulator set; dictionary lookup; guard clause; flattened conditional; tuple unpacking; list comprehension; membership test; input validation; boundary case handling; default value handling,0.2,variable renaming; import reorganization; dictionary lookup; list conversion; list comprehension; in-place mutation; early return; guard clause; combined condition; input validation; boundary case handling; standard library helper; concurrency control; temporary variable,0.18,variable renaming; import reorganization; set conversion; tuple unpacking; membership test; list comprehension; temporary variable; input validation; branch reordering; state variable,0.12
60,original,import reorganization; type annotations; context manager; exception handling; list comprehension; standard library helper; behavior change,0.27,variable renaming; method renaming; import reorganization; standard library helper; list comprehension; accumulator list; guard clause; default value handling; boundary case handling; temporary variable; join/split usage,0.22,method renaming; import reorganization; temporary variable; try-except wrapper; standard library helper; behavior change; error suppression,0.18,variable renaming; method renaming; import reorganization; dict comprehension; temporary variable; try-except wrapper; error suppression,0.2,variable renaming; method renaming; import reorganization; helper function extraction; temporary variable; literal rewrite; try-except wrapper; default value handling; behavior change; standard library helper; type annotations added,0.13
61,original,import reorganization;guard clause;flattened conditional;combined condition;try-except wrapper;type check;temporary variable;behavior change,0.28,variable renaming;state variable;import reorganization;guard clause;flattened conditional;try-except wrapper;temporary variable;in-place mutation;type conversion;default value handling;input validation;boundary case handling,0.22,import reorganization;standard library helper;guard clause;try-except wrapper;membership test;input validation;type check;empty input handling;temporary variable;behavior change,0.18,import reorganization;state variable;temporary variable;guard clause;try-except wrapper;type conversion;standard library helper;behavior change;flattened conditional,0.18,import reorganization; standard library helper; list conversion; in-place mutation; helper function extraction; guard clause; try-except wrapper; accumulator list; copy before mutation; temporary variable; state variable; type conversion; empty input handling; membership test; behavior change,0.14
62,original,set conversion; list comprehension; loop rewrite; temporary variable; membership test; literal rewrite,0.3,variable renaming; literal rewrite; set conversion; set comprehension; accumulator list; in-place mutation; temporary variable; membership test; join/split usage; behavior change,0.25,import reorganization; set conversion; set comprehension; list comprehension; regex usage; membership test; accumulator list; temporary variable; in-place mutation,0.2,helper function extraction;loop rewrite;map/filter usage;lambda expression;set conversion;list conversion;temporary variable;early return,0.15,variable renaming; temporary variable; index-based loop; in-place mutation; set conversion; membership test; early return,0.1
63,original,class renaming; variable renaming; import reorganization; regex usage; literal rewrite; standard library helper; frequency counting; accumulator list; behavior change,0.28,class renaming;helper function extraction;list comprehension;generator expression;conditional expression;heap-based;import reorganization;variable renaming;guard clause;empty input handling,0.22,class renaming;import reorganization;list comprehension;loop rewrite;accumulator dict;in-place mutation;standard library helper;sort key;slicing,0.18,class renaming; variable renaming; import reorganization; loop rewrite; list comprehension; itertools usage; sort key; slicing; frequency counting,0.2,class renaming; variable renaming; helper function extraction; import reorganization; regex usage; list comprehension; sort key; behavior change,0.12
64,original,guard clause; early return; input validation; type check; type conversion; boundary case handling; temporary variable; builtin function; string formatting change,0.25,variable renaming;parameter renaming;guard clause;conditional expression;combined condition;temporary variable;input validation;type conversion;boundary case handling;class removal,0.2,class renaming; helper function extraction; loop rewrite; temporary variable; in-place mutation; membership test; guard clause; input validation; boundary case handling; string formatting change,0.2,class renaming;helper function extraction;input validation;type check;type conversion;builtin function;boundary case handling;default value handling;string formatting change,0.18,class renaming; helper function extraction; while loop; accumulator list; state variable; type check; boundary case handling; string formatting change; membership test; builtin function,0.17
65,original,variable renaming; method renaming; constant renaming; guard clause; while loop; enumerate loop; helper function extraction; accumulator list; temporary variable; tuple unpacking; join/split usage; input validation; empty input handling; default value handling; literal rewrite,0.35,method renaming; variable renaming; constant renaming; literal rewrite; early return; loop rewrite; while loop; accumulator list; join/split usage; input validation; boundary case handling; default value handling,0.25,variable renaming;method renaming;parameter renaming;loop rewrite;while loop;accumulator list;numeric decomposition;guard clause;input validation;default value handling;type conversion,0.18,variable renaming; method renaming; constant renaming; helper function inlining; loop rewrite; enumerate loop; accumulator list; tuple unpacking; join/split usage; early return; input validation; empty input handling; boundary case handling; default value handling,0.12,variable renaming;constant renaming;method renaming;parameter renaming;guard clause;loop rewrite;while loop;helper function extraction;try-except wrapper;accumulator list;temporary variable;tuple unpacking;join/split usage;f-string;input validation;default value handling;error suppression;type conversion;boundary case handling,0.1
